#wavelength 2.35
#field 0.0 0.0 5.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 32.80   0.38616   0.01690   0.37843   0.01684
 33.00   0.40020   0.01726   0.38333   0.01695
 33.20   0.39502   0.01714   0.37394   0.01663
 33.40   0.38108   0.01696   0.37132   0.01663
 33.60   0.37827   0.01680   0.37408   0.01681
 33.80   0.38207   0.01691   0.37946   0.01683
 34.00   0.38597   0.01694   0.37089   0.01661
 34.20   0.38800   0.01696   0.35710   0.01633
 34.40   0.38516   0.01697   0.38041   0.01687
 34.60   0.35896   0.01659   0.37915   0.01688
 34.80   0.38078   0.01677   0.36308   0.01660
 35.00   0.36603   0.01655   0.37295   0.01677
 35.20   0.38684   0.01705   0.36609   0.01663
 35.40   0.38312   0.01700   0.35892   0.01654
 35.60   0.38772   0.01707   0.37456   0.01680
 35.80   0.38650   0.01684   0.38013   0.01691
 36.00   0.39047   0.01707   0.35484   0.01633
 36.20   0.38710   0.01692   0.36880   0.01671
 36.40   0.38757   0.01709   0.36843   0.01658
 36.60   0.39350   0.01704   0.38007   0.01678
 36.80   0.35891   0.01644   0.39351   0.01712
 37.00   0.38480   0.01697   0.37839   0.01700
 37.20   0.39199   0.01703   0.39687   0.01702
 37.40   0.40516   0.01738   0.39567   0.01721
 37.60   0.38821   0.01704   0.39999   0.01720
 37.80   0.40135   0.01716   0.36414   0.01657
 38.00   0.37777   0.01701   0.37139   0.01674
 38.20   0.41293   0.01765   0.37587   0.01684
 38.40   0.40484   0.01735   0.38605   0.01706
 38.60   0.40123   0.01727   0.39013   0.01715
 38.80   0.41610   0.01753   0.36549   0.01660
 39.00   0.39109   0.01710   0.37704   0.01689
 39.20   0.39000   0.01704   0.39099   0.01721
 39.40   0.39564   0.01705   0.38568   0.01693
 39.60   0.39528   0.01713   0.37638   0.01673
 39.80   0.42646   0.01778   0.39181   0.01710
 40.00   0.40535   0.01737   0.38540   0.01697
 40.20   0.39517   0.01715   0.39121   0.01703
 40.40   0.39561   0.01713   0.38075   0.01704
 40.60   0.40912   0.01741   0.36210   0.01664
 40.80   0.41987   0.01761   0.39786   0.01709
 41.00   0.38850   0.01702   0.39780   0.01714
 41.20   0.38960   0.01676   0.39838   0.01685
 41.40   0.40627   0.01680   0.38812   0.01654
 41.60   0.40316   0.01680   0.38492   0.01648
 41.80   0.40945   0.01670   0.37709   0.01610
 42.00   0.40317   0.01633   0.39064   0.01618
 42.20   0.40513   0.01603   0.38001   0.01569
 42.40   0.41345   0.01627   0.39646   0.01592
 42.60   0.41479   0.01625   0.39679   0.01587
 42.80   0.40278   0.01589   0.40385   0.01592
 43.00   0.42434   0.01628   0.39892   0.01590
 43.20   0.40124   0.01594   0.40582   0.01601
 43.40   0.42354   0.01624   0.39571   0.01593
 43.60   0.39898   0.01594   0.40687   0.01605
 43.80   0.43873   0.01656   0.42979   0.01645
 44.00   0.41605   0.01626   0.41546   0.01629
 44.20   0.41444   0.01618   0.43675   0.01662
 44.40   0.39304   0.01593   0.43916   0.01656
 44.60   0.40049   0.01596   0.43541   0.01650
 44.80   0.41568   0.01625   0.47762   0.01702
 45.00   0.44654   0.01663   0.54774   0.01807
 45.20   0.44530   0.01667   0.61385   0.01884
 45.40   0.46876   0.01700   0.71649   0.01988
 45.60   0.51153   0.01758   0.82893   0.02092
 45.80   0.52643   0.01778   0.96495   0.02206
 46.00   0.56840   0.01840   1.10949   0.02314
 46.20   0.61411   0.01880   1.24066   0.02388
 46.40   0.60597   0.01878   1.36904   0.02456
 46.60   0.62691   0.01886   1.48781   0.02521
 46.80   0.64431   0.01915   1.61176   0.02585
 47.00   0.64820   0.01922   1.57464   0.02568
 47.20   0.64097   0.01913   1.52322   0.02540
 47.40   0.58174   0.01843   1.39128   0.02468
 47.60   0.56442   0.01829   1.21905   0.02383
 47.80   0.50768   0.01758   0.98149   0.02217
 48.00   0.51474   0.01758   0.77900   0.02054
 48.20   0.45098   0.01671   0.63124   0.01907
 48.40   0.46165   0.01695   0.53272   0.01788
 48.60   0.44700   0.01665   0.46956   0.01696
 48.80   0.43679   0.01654   0.46374   0.01695
 49.00   0.44816   0.01662   0.46047   0.01685
 49.20   0.45124   0.01662   0.44442   0.01660
 49.40   0.45126   0.01683   0.44619   0.01671
 49.60   0.46563   0.01696   0.46068   0.01702
 49.80   0.46163   0.01683   0.44749   0.01667
 50.00   0.44948   0.01682   0.46505   0.01686
 50.20   0.46361   0.01693   0.48761   0.01721
 50.40   0.44009   0.01649   0.44528   0.01661
 50.60   0.46717   0.01691   0.43857   0.01643
 50.80   0.46569   0.01704   0.46141   0.01691
 51.00   0.46067   0.01682   0.44907   0.01662
 51.20   0.46539   0.01693   0.46062   0.01689
 51.40   0.44121   0.01663   0.44708   0.01665
 51.60   0.49611   0.01734   0.46459   0.01698
 51.80   0.47407   0.01708   0.44616   0.01660
 52.00   0.46771   0.01665   0.46216   0.01665
 52.20   0.49680   0.01699   0.46766   0.01654
 52.40   0.49135   0.01677   0.46005   0.01633
 52.60   0.47946   0.01639   0.44183   0.01587
 52.80   0.51314   0.01671   0.45120   0.01585
 53.00   0.48435   0.01609   0.48028   0.01605
 53.20   0.53445   0.01657   0.49902   0.01610
 53.40   0.57388   0.01654   0.54169   0.01625
 53.60   0.64299   0.01701   0.59201   0.01641
 53.80   0.72249   0.01755   0.67299   0.01710
 54.00   0.82828   0.01831   0.75535   0.01778
 54.20   0.97004   0.01937   0.81956   0.01831
 54.40   1.13027   0.02030   0.95672   0.01937
 54.60   1.26810   0.02107   1.06972   0.02002
 54.80   1.39854   0.02178   1.20580   0.02082
 55.00   1.63266   0.02279   1.29989   0.02130
 55.20   1.78446   0.02332   1.43211   0.02194
 55.40   1.94840   0.02393   1.57058   0.02248
 55.60   1.99656   0.02405   1.58722   0.02258
 55.80   1.99112   0.02415   1.57886   0.02262
 56.00   1.95750   0.02401   1.53731   0.02240
 56.20   1.85860   0.02366   1.50069   0.02225
 56.40   1.67258   0.02298   1.36103   0.02170
 56.60   1.49135   0.02225   1.24721   0.02107
 56.80   1.28155   0.02126   1.12219   0.02043
 57.00   1.10541   0.02009   1.04016   0.01990
 57.20   0.93442   0.01916   0.96974   0.01941
 57.40   0.85317   0.01861   0.91984   0.01916
 57.60   0.77436   0.01807   0.89446   0.01892
 57.80   0.76309   0.01793   0.91077   0.01901
 58.00   0.77358   0.01800   0.96323   0.01939
 58.20   0.74110   0.01782   0.98066   0.01951
 58.40   0.75399   0.01776   1.00081   0.01965
 58.60   0.75356   0.01787   0.97324   0.01952
 58.80   0.72532   0.01759   0.95778   0.01934
 59.00   0.69178   0.01736   0.92611   0.01914
 59.20   0.67355   0.01717   0.85931   0.01861
 59.40   0.65857   0.01711   0.80528   0.01826
 59.60   0.64485   0.01684   0.76823   0.01786
 59.80   0.60490   0.01645   0.71029   0.01753
 60.00   0.55451   0.01594   0.63442   0.01684
 60.20   0.54221   0.01588   0.59418   0.01633
 60.40   0.54222   0.01583   0.56821   0.01612
 60.60   0.52412   0.01566   0.51928   0.01554
 60.80   0.53476   0.01573   0.52907   0.01566
 61.00   0.52262   0.01554   0.52979   0.01566
 61.20   0.49920   0.01526   0.51840   0.01552
 61.40   0.50892   0.01539   0.50312   0.01538
 61.60   0.53494   0.01574   0.49795   0.01528
 61.80   0.50820   0.01542   0.48325   0.01510
 62.00   0.54032   0.01581   0.53086   0.01568
 62.20   0.53506   0.01582   0.48834   0.01521
 62.40   0.52799   0.01564   0.52074   0.01547
 62.60   0.53088   0.01567   0.50456   0.01542
 62.80   0.52534   0.01562   0.50347   0.01535
 63.00   0.51179   0.01539   0.50035   0.01528
 63.20   0.54648   0.01579   0.52339   0.01558
 63.40   0.52523   0.01562   0.52292   0.01553
 63.60   0.52278   0.01560   0.52461   0.01564
 63.80   0.55616   0.01601   0.51838   0.01562
 64.00   0.53093   0.01573   0.50576   0.01544
 64.20   0.54331   0.01584   0.51295   0.01539
 64.40   0.55904   0.01596   0.51397   0.01542
 64.60   0.57812   0.01610   0.54557   0.01580
 64.80   0.55807   0.01596   0.50776   0.01536
 65.00   0.56736   0.01598   0.53136   0.01563
 65.20   0.57411   0.01616   0.52165   0.01557
 65.40   0.56503   0.01605   0.52529   0.01568
 65.60   0.58517   0.01623   0.52149   0.01561
 65.80   0.61438   0.01652   0.55240   0.01588
