    (  1)  P 1                                                         0
    (117)  P -4 b 2                                                    0
    (118)  P -4 n 2                                                    0
    (119)  I -4 m 2                                                    0
    (120)  I -4 c 2                                                    0
    (121)  I -4 2 m                                                    0
    (122)  I -4 2 d                                                    0
    (123)  P 4/m m m                                                   0
    (124)  P 4/m c c                                                   0
    (125)  P 4/n b m                                                 289
    (126)  P 4/n n c                                                 289
    (127)  P 4/m b m                                                   0
    (128)  P 4/m n c                                                   0
    (129)  P 4/n m m                                                 289
    (130)  P 4/n c c                                                 289
    (131)  P 42/m m c                                                  0
    (132)  P 42/m c m                                                  0
    (133)  P 42/n b c                                                289
    (134)  P 42/n n m                                                289
    (135)  P 42/m b c                                                  0
    (136)  P 42/m n m                                                  0
    (137)  P 42/n m c                                                289
    (138)  P 42/n c m                                                289
    (139)  I 4/m m m                                                   0
    (140)  I 4/m c m                                                   0
    (141)  I 41/a m d                                                289
    (142)  I 41/a c d                                                289
    (143)  P 3                                                         0
    (144)  P 31                                                        0
    (145)  P 32                                                        0
    (146)  R 3                                                         0
    (147)  P -3                                                        0
    (148)  R -3                                                        0
    (149)  P 3 1 2                                                     0
    (150)  P 3 2 1                                                     0
    (151)  P 31 1 2                                                    0
    (152)  P 31 2 1                                                    0
    (153)  P 32 1 2                                                    0
    (154)  P 32 2 1                                                    0
    (155)  R 3 2                                                       0
    (156)  P 3 m 1                                                     0
    (157)  P 3 1 m                                                     0
    (158)  P 3 c 1                                                     0
    (159)  P 3 1 c                                                     0
    (160)  R 3 m                                                       0
    (161)  R 3 c                                                       0
    (162)  P -3 1 m                                                    0
    (163)  P -3 1 c                                                    0
    (164)  P -3 m 1                                                    0
    (165)  P -3 c 1                                                    0
    (166)  R -3 m                                                      0
    (167)  R -3 c                                                      0
    (168)  P 6                                                         0
    (169)  P 61                                                        0
    (170)  P 65                                                        0
    (171)  P 62                                                        0
    (172)  P 64                                                        0
    (173)  P 63                                                        0
    (174)  P -6                                                        0
    (175)  P 6/m                                                       0
    (176)  P 63/m                                                      0
    (177)  P 6 2 2                                                     0
    (178)  P 61 2 2                                                    0
    (179)  P 65 2 2                                                    0
    (180)  P 62 2 2                                                    0
    (181)  P 64 2 2                                                    0
    (182)  P 63 2 2                                                    0
    (183)  P 6 m m                                                     0
    (184)  P 6 c c                                                     0
    (185)  P 63 c m                                                    0
    (186)  P 63 m c                                                    0
    (187)  P -6 m 2                                                    0
    (188)  P -6 c 2                                                    0
    (189)  P -6 2 m                                                    0
    (190)  P -6 2 c                                                    0
    (191)  P 6/m m m                                                   0
    (192)  P 6/m c c                                                   0
    (193)  P 63/m c m                                                  0
    (194)  P 63/m m c                                                  0
    (195)  P 2 3                                                       0
    (196)  F 2 3                                                       0
    (197)  I 2 3                                                       0
    (198)  P 21 3                                                      0
    (199)  I 21 3                                                      0
    (200)  P m -3      P m 3                                           0
    (201)  P n -3      P n 3                                         289
    (202)  F m -3      F m 3                                           0
    (203)  F d -3      F d 3                                         289
    (204)  I m -3      I m 3                                           0
    (205)  P a -3      P a 3                                           0
    (206)  I a -3      I a 3                                           0
    (207)  P 4 3 2                                                     0
    (208)  P 42 3 2                                                    0
    (209)  F 4 3 2                                                     0
    (210)  F 41 3 2                                                    0
    (211)  I 4 3 2                                                     0
    (212)  P 43 3 2                                                    0
    (213)  P 41 3 2                                                    0
    (214)  I 41 3 2                                                    0
    (215)  P -4 3 m                                                    0
    (216)  F -4 3 m                                                    0
    (217)  I -4 3 m                                                    0
    (218)  P -4 3 n                                                    0
    (219)  F -4 3 c                                                    0
    (220)  I -4 3 d                                                    0
    (221)  P m -3 m    P m 3 m                                         0
    (222)  P n -3 n    P n 3 n                                       289
    (223)  P m -3 n    P m 3 n                                         0
    (224)  P n -3 m    P n 3 m                                       289
    (225)  F m -3 m    F m 3 m                                         0
    (226)  F m -3 c    F m 3 c                                         0
    (227)  F d -3 m    F d 3 m                                       289
    (228)  F d -3 c    F d 3 c                                       289
    (229)  I m -3 m    I m 3 m                                         0
    (230)  I a -3 d    I a 3 d                                         0
           A 2         A 1 2 1     A 1 1 2                           232
           B 2         B 2 1 1     B 1 1 2                           233
           I 2         I 2 1 1     I 1 2 1     I 1 1 2                 0
           P n         P n 1 1     P 1 n 1     P 1 1 n               235
           P a         P 1 a 1     P 1 1 a                           236
           P b         P b 1 1     P 1 1 b                             0
           A m         A 1 m 1     A 1 1 m                           238
           B m         B m 1 1     B 1 1 m                           239
           I m         I m 1 1     I 1 m 1     I 1 1 m                 0
           C n         C n 1 1     C 1 n 1                           241
           A a         A 1 a 1     A 1 1 a                           242
           A n         A 1 n 1     A 1 1 n                           243
           B b         B b 1 1     B 1 1 b                           244
           B n         B n 1 1     B 1 1 n                           245
           I a         I 1 a 1     I 1 1 a                           246
           I b         I b 1 1     I 1 1 b                           247
           I c         I c 1 1     I 1 c 1                             0
           A 2/m       A 1 2/m 1   A 1 1 2/m                         249
           B 2/m       B 2/m 1 1   B 1 1 2/m                         250
           I 2/m       I 2/m 1 1   I 1 2/m 1   I 1 1 2/m               0
           P 2/a       P 1 2/a 1   P 1 1 2/a                         252
           P 2/b       P 2/b 1 1   P 1 1 2/b                         253
           P 2/n       P 2/n 1 1   P 1 2/n 1   P 1 1 2/n               0
           P 21/a      P 1 21/a 1  P 1 1 21/a                        255
           P 21/b      P 21/b 1 1  P 1 1 21/b                        256
           P 21/n      P 21/n 1 1  P 1 21/n 1  P 1 1 21/n              0
           C 2/n       C 2/n 1 1   C 1 2/n 1                         258
           A 2/a       A 1 2/a 1   A 1 1 2/a                         259
           A 2/n       A 1 2/n 1   A 1 1 2/n                         260
           B 2/b       B 2/b 1 1   B 1 1 2/b                         261
           B 2/n       B 2/n 1 1   B 1 1 2/n                         262
           I 2/a       I 1 2/a 1   I 1 1 2/a                         263
           I 2/b       I 2/b 1 1   I 1 1 2/b                         264
