#wavelength 2.428257
#field  0.000 0.000 0.001
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
  27.6000     1181.1       34.37        1181.1       34.37    
  27.7000      587.9       24.25         587.9       24.25    
  27.8000      377.6       19.43         377.6       19.43    
  27.9000      355.5       18.85         355.5       18.85    
  28.0000      348.7       18.67         348.7       18.67    
  28.1000      337.9       18.38         337.9       18.38    
  28.2000      339.9       18.44         339.9       18.44    
  28.3000      344.5       18.56         344.5       18.56    
  28.4000      335.7       18.32         335.7       18.32    
  28.5000      333.3       18.26         333.3       18.26    
  28.6000      337.2       18.36         337.2       18.36    
  28.7000      332.9       18.25         332.9       18.25    
  28.8000      328.6       18.13         328.6       18.13    
  28.9000      332.7       18.24         332.7       18.24    
  29.0000      329.4       18.15         329.4       18.15    
  29.1000      324.8       18.02         324.8       18.02    
  29.2000      332.2       18.23         332.2       18.23    
  29.3000      328.7       18.13         328.7       18.13    
  29.4000      325.8       18.05         325.8       18.05    
  29.5000      324.0       18.00         324.0       18.00    
  29.6000      323.6       17.99         323.6       17.99    
  29.7000      327.5       18.10         327.5       18.10    
  29.8000      329.0       18.14         329.0       18.14    
  29.9000      310.1       17.61         310.1       17.61    
  30.0000      317.6       17.82         317.6       17.82    
  30.1000      327.3       18.09         327.3       18.09    
  30.2000      314.9       17.75         314.9       17.75    
  30.3000      318.8       17.85         318.8       17.85    
  30.4000      325.9       18.05         325.9       18.05    
  30.5000      321.0       17.92         321.0       17.92    
  30.6000      342.7       18.51         342.7       18.51    
  30.7000      334.9       18.30         334.9       18.30    
  30.8000      329.8       18.16         329.8       18.16    
  30.9000      326.7       18.07         326.7       18.07    
  31.0000      331.1       18.20         331.1       18.20    
  31.1000      319.4       17.87         319.4       17.87    
  31.2000      324.6       18.02         324.6       18.02    
  31.3000      325.4       18.04         325.4       18.04    
  31.4000      320.6       17.91         320.6       17.91    
  31.5000      329.8       18.16         329.8       18.16    
  31.6000      322.6       17.96         322.6       17.96    
  31.7000      324.4       18.01         324.4       18.01    
  31.8000      326.3       18.06         326.3       18.06    
  31.9000      331.9       18.22         331.9       18.22    
  32.0000      327.1       18.09         327.1       18.09    
  32.1000      337.2       18.36         337.2       18.36    
  32.2000      341.5       18.48         341.5       18.48    
  32.3000      331.9       18.22         331.9       18.22    
  32.4000      334.8       18.30         334.8       18.30    
  32.5000      335.9       18.33         335.9       18.33    
  32.6000      339.4       18.42         339.4       18.42    
  32.7000      337.9       18.38         337.9       18.38    
  32.8000      340.4       18.45         340.4       18.45    
  32.9000      342.9       18.52         342.9       18.52    
  33.0000      347.9       18.65         347.9       18.65    
  33.1000      363.1       19.06         363.1       19.06    
  33.2000      361.1       19.00         361.1       19.00    
  33.3000      392.8       19.82         392.8       19.82    
  33.4000      731.2       27.04         731.2       27.04    
  33.5000     1783.0       42.23        1783.0       42.23    
  33.6000     3013.8       54.90        3013.8       54.90    
  33.7000     3477.5       58.97        3477.5       58.97    
  33.8000     3034.3       55.08        3034.3       55.08    
  33.9000     1998.3       44.70        1998.3       44.70    
  34.0000      967.5       31.10         967.5       31.10    
  34.1000      458.0       21.40         458.0       21.40    
  34.2000      357.5       18.91         357.5       18.91    
  34.3000      354.2       18.82         354.2       18.82    
  34.4000      351.5       18.75         351.5       18.75    
  34.5000      345.0       18.57         345.0       18.57    
  34.6000      344.7       18.57         344.7       18.57    
  34.7000      335.8       18.32         335.8       18.32    
  34.8000      340.7       18.46         340.7       18.46    
  34.9000      336.6       18.35         336.6       18.35    
  35.0000      330.5       18.18         330.5       18.18    
  35.1000      340.0       18.44         340.0       18.44    
  35.2000      327.8       18.11         327.8       18.11    
  35.3000      331.6       18.21         331.6       18.21    
  35.4000      328.5       18.12         328.5       18.12    
  35.5000      321.6       17.93         321.6       17.93    
  35.6000      316.6       17.79         316.6       17.79    
  35.7000      316.0       17.78         316.0       17.78    
  35.8000      335.6       18.32         335.6       18.32    
  35.9000      328.1       18.11         328.1       18.11    
  36.0000      327.5       18.10         327.5       18.10    
  36.1000      324.0       18.00         324.0       18.00    
  36.2000      319.6       17.88         319.6       17.88    
  36.3000      323.2       17.98         323.2       17.98    
  36.4000      314.5       17.73         314.5       17.73    
  36.5000      320.3       17.90         320.3       17.90    
  36.6000      333.1       18.25         333.1       18.25    
  36.7000      328.7       18.13         328.7       18.13    
  36.8000      324.5       18.01         324.5       18.01    
  36.9000      334.8       18.30         334.8       18.30    
  37.0000      322.8       17.97         322.8       17.97    
  37.1000      336.6       18.35         336.6       18.35    
  37.2000      328.6       18.13         328.6       18.13    
  37.3000      330.0       18.17         330.0       18.17    
  37.4000      326.1       18.06         326.1       18.06    
  37.5000      335.3       18.31         335.3       18.31    
  37.6000      341.8       18.49         341.8       18.49    
  37.7000      349.1       18.68         349.1       18.68    
  37.8000      355.5       18.85         355.5       18.85    
  37.9000      344.3       18.56         344.3       18.56    
  38.0000      341.1       18.47         341.1       18.47    
  38.1000      354.3       18.82         354.3       18.82    
  38.2000      362.0       19.03         362.0       19.03    
  38.3000      364.3       19.09         364.3       19.09    
  38.4000      372.1       19.29         372.1       19.29    
  38.5000      380.7       19.51         380.7       19.51    
  38.6000      385.6       19.64         385.6       19.64    
  38.7000      446.3       21.13         446.3       21.13    
  38.8000      857.8       29.29         857.8       29.29    
  38.9000     2274.3       47.69        2274.3       47.69    
  39.0000     4252.2       65.21        4252.2       65.21    
  39.1000     5520.4       74.30        5520.4       74.30    
  39.2000     5145.9       71.73        5145.9       71.73    
  39.3000     3560.8       59.67        3560.8       59.67    
  39.4000     1778.9       42.18        1778.9       42.18    
  39.5000      695.9       26.38         695.9       26.38    
  39.6000      413.5       20.33         413.5       20.33    
  39.7000      387.8       19.69         387.8       19.69    
  39.8000      385.5       19.63         385.5       19.63    
  39.9000      369.7       19.23         369.7       19.23    
  40.0000      360.2       18.98         360.2       18.98    
  40.1000      355.5       18.85         355.5       18.85    
  40.2000      348.1       18.66         348.1       18.66    
  40.3000      350.4       18.72         350.4       18.72    
  40.4000      337.4       18.37         337.4       18.37    
  40.5000      338.5       18.40         338.5       18.40    
  40.6000      339.0       18.41         339.0       18.41    
  40.7000      330.7       18.19         330.7       18.19    
  40.8000      329.3       18.15         329.3       18.15    
  40.9000      330.0       18.17         330.0       18.17    
  41.0000      323.5       17.99         323.5       17.99    
  41.1000      329.5       18.15         329.5       18.15    
  41.2000      324.0       18.00         324.0       18.00    
  41.3000      322.5       17.96         322.5       17.96    
  41.4000      324.2       18.01         324.2       18.01    
  41.5000      325.7       18.05         325.7       18.05    
