  h_1  k_1  l_1  iint_u_1  iint_d_1      fr_1  h_2  k_2  l_2  iint_u_2  iint_d_2      fr_2  h_3  k_3  l_3  iint_u_3  iint_d_3      fr_3      fr_mod    fr_exp   sfr_exp
    8    2   -2    59.238    65.896   0.89896   -6   -4    6    64.614    71.584   0.90263   -6    4   -6    64.614    71.584   0.90263     0.90100   0.91000   0.02090
    0   -2    4    14.410    11.156   1.29169    3   -1    2    15.958    13.174   1.21134    3    1   -2    15.958    13.174   1.21134     1.24535   1.23500   0.03630
   -6    4   -6    64.645    71.551   0.90348 None None None      None      None      None   -2   -4   10    74.966    82.379   0.91001     0.90721   0.90070   0.01990
   -6    2   -4    34.923    49.575   0.70444    0    4   -8    41.498    57.408   0.72286    0   -4    8    41.498    57.408   0.72286     0.71498   0.67690   0.01550
   -3    1    0     5.850    29.929   0.19545    1    1   -4     5.530    31.895   0.17339    1   -1    4     5.530    31.895   0.17339     0.18329   0.13810   0.00760
    4    4   -4    37.574    58.516   0.64211   -6   -2    0    35.238    55.520   0.63469   -6    2    0    35.238    55.520   0.63469     0.63824   0.61970   0.01210
 None None None      None      None      None    4   -4    4    37.600    58.489   0.64286 None None None      None      None      None        None   0.61890   0.01220
    0    2   -4    14.410    11.156   1.29169   -3    1   -2    15.958    13.174   1.21134   -3   -1    2    15.958    13.174   1.21134     1.24535   1.20960   0.04120
   -4    4   -4    37.744    58.313   0.64727   -2    2   -8    44.879    66.891   0.67092   -2   -2    8    44.879    66.891   0.67092     0.66075   0.62210   0.01290
   -8    2   -2    59.270    65.863   0.89989    2    4  -10    74.973    82.373   0.91016    2   -4   10    74.973    82.373   0.91016     0.90596   0.90550   0.02480
   -3    1   -2    15.914    13.135   1.21161    0    2   -4    14.427    11.172   1.29138    0   -2    4    14.427    11.172   1.29138     1.25113   1.18360   0.03760
   -6    2    0    35.467    55.241   0.64203    2    2   -8    44.933    66.826   0.67239    2   -2    8    44.933    66.826   0.67239     0.65972   0.65470   0.01400
   -3   -1    2    15.896    13.119   1.21175    3    1   -2    15.941    13.159   1.21141    3   -1    2    15.941    13.159   1.21141     1.21156   1.17770   0.04730
   -4    4   -8    35.804    42.576   0.84094   -4    4   -8    35.801    42.579   0.84081   -4   -4    8    35.801    42.579   0.84081     0.84087   0.85010   0.01960
    1    3   -4     2.481    19.601   0.12658   -4    0   -2     2.912    23.500   0.12393   -4    0    2     2.912    23.500   0.12393     0.12504   0.12710   0.01140
    4    0    2     2.879    23.578   0.12209   -1   -3    4     2.471    19.730   0.12526   -1    3   -4     2.471    19.730   0.12526     0.12364   0.08200   0.01190
