#wavelength 1.4
#field 0. 0.  1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 18.68   673073.00    820.41    675288.00    821.76
 18.74   677831.00    823.30    682591.00    826.19
 18.79   674288.00    821.15    678124.00    823.48
 18.84   684558.00    827.38    690291.00    830.84
 18.90   707392.00    841.07    712134.00    843.88
 18.95   700769.00    837.12    706216.00    840.37
 19.00   701169.00    837.36    704322.00    839.24
 19.05   703522.00    838.76    709980.00    842.60
 19.10   726732.00    852.49    732952.00    856.13
 19.15   723128.00    850.37    729318.00    854.00
 19.20   741809.00    861.28    747319.00    864.48
 19.26   735685.00    857.72    741905.00    861.34
 19.31   732872.00    856.08    739410.00    859.89
 19.36   749634.00    865.81    757653.00    870.43
 19.41   756231.00    869.62    761569.00    872.68
 19.46   751349.00    866.80    759010.00    871.21
 19.51   754183.00    868.44    761982.00    872.92
 19.56   751484.00    866.88    759990.00    871.77
 19.61   764231.00    874.20    772964.00    879.18
 19.66   767596.00    876.13    776441.00    881.16
 19.71   760279.00    871.94    769841.00    877.41
 19.76   754410.00    868.57    761501.00    872.64
 19.81   762000.00    872.93    772011.00    878.64
 19.86   759803.00    871.67    770190.00    877.60
 19.91   760295.00    871.95    768167.00    876.45
 19.96   755414.00    869.15    767323.00    875.97
 20.01   742871.00    861.90    753445.00    868.01
 20.05   738513.00    859.37    744057.00    862.59
 20.10   734998.00    857.32    742542.00    861.71
 20.15   713532.00    844.71    722017.00    849.72
 20.20   727135.00    852.72    735230.00    857.46
 20.25   712319.00    843.99    719763.00    848.39
 20.30   700237.00    836.80    707336.00    841.03
 20.35   705908.00    840.18    711936.00    843.76
 20.39   690228.00    830.80    698222.00    835.60
 20.44   677886.00    823.34    685864.00    828.17
 20.49   671350.00    819.36    677847.00    823.31
 20.54   670303.00    818.72    677233.00    822.94
 20.58   666665.00    816.50    674852.00    821.49
 20.63   645775.00    803.60    649618.00    805.99
 20.68   658393.00    811.41    666069.00    816.13
 20.73   659705.00    812.22    663623.00    814.63
 20.77   631138.00    794.44    636161.00    797.60
 20.82   651670.00    807.26    655748.00    809.78
 20.87   640039.00    800.02    644892.00    803.05
 20.91   629497.00    793.41    632528.00    795.32
 20.96   645312.00    803.31    649451.00    805.89
 21.00   629831.00    793.62    632559.00    795.34
 21.05   625421.00    790.84    630224.00    793.87
 21.09   634956.00    796.84    639314.00    799.57
 21.14   619792.00    787.27    622813.00    789.19
 21.19   639021.00    799.39    641176.00    800.73
 21.23   628570.00    792.82    630288.00    793.91
 21.28   621659.00    788.45    626205.00    791.33
 21.32   630205.00    793.85    631925.00    794.94
 21.37   627107.00    791.90    630855.00    794.26
 21.41   635449.00    797.15    639009.00    799.38
 21.46   633580.00    795.98    635868.00    797.41
 21.50   636887.00    798.05    639344.00    799.59
 21.55   630966.00    794.33    632698.00    795.42
 21.59   621660.00    788.45    624623.00    790.33
 21.64   649460.00    805.89    652798.00    807.96
 21.68   631064.00    794.40    632525.00    795.31
 21.73   652088.00    807.52    654216.00    808.84
 21.77   626292.00    791.39    629760.00    793.57
 21.81   644954.00    803.09    646840.00    804.26
 21.86   631642.00    794.76    633232.00    795.76
 21.90   637624.00    798.51    639693.00    799.81
 21.95   656117.00    810.01    658467.00    811.46
 21.99   635095.00    796.93    637929.00    798.70
 22.03   636085.00    797.55    636696.00    797.93
 22.08   654334.00    808.91    657579.00    810.91
 22.12   638657.00    799.16    640811.00    800.51
 22.16   644551.00    802.84    646632.00    804.13
 22.21   652909.00    808.03    654306.00    808.89
 22.25   638556.00    799.10    641041.00    800.65
 22.29   639135.00    799.46    638789.00    799.24
 22.33   651310.00    807.04    654148.00    808.79
 22.38   641635.00    801.02    641988.00    801.24
 22.42   636591.00    797.87    639158.00    799.47
 22.46   645411.00    803.37    648400.00    805.23
 22.51   650335.00    806.43    652754.00    807.93
 22.55   636711.00    797.94    638564.00    799.10
 22.59   639347.00    799.59    639381.00    799.61
 22.63   629682.00    793.53    628940.00    793.06
 22.67   642164.00    801.35    643846.00    802.40
 22.72   641935.00    801.21    642463.00    801.54
 22.76   627326.00    792.04    625193.00    790.69
 22.80   633649.00    796.02    635182.00    796.98
 22.84   632462.00    795.27    635532.00    797.20
 22.88   630935.00    794.31    632369.00    795.22
 22.92   626071.00    791.25    626210.00    791.33
 22.97   648340.00    805.20    649571.00    805.96
 23.01   621824.00    788.56    622814.00    789.19
 23.05   625785.00    791.07    629252.00    793.25
 23.09   625727.00    791.03    627265.00    792.00
 23.13   633231.00    795.76    634523.00    796.57
 23.17   619532.00    787.10    621924.00    788.62
 23.21   628281.00    792.64    630533.00    794.06
 23.25   627200.00    791.96    628099.00    792.53
 23.29   630893.00    794.29    631908.00    794.93
 23.33   621146.00    788.13    621604.00    788.42
 23.37   611534.00    782.01    614865.00    784.13
 23.41   633467.00    795.91    637429.00    798.39
 23.46   632951.00    795.58    635446.00    797.15
 23.49   625471.00    790.87    625510.00    790.89
 23.53   628270.00    792.63    627380.00    792.07
 23.57   617576.00    785.86    622453.00    788.96
 23.62   631425.00    794.62    631777.00    794.84
 23.65   623552.00    789.65    625530.00    790.90
 23.70   632315.00    795.18    633973.00    796.22
 23.74   634126.00    796.32    636047.00    797.53
 23.77   620162.00    787.50    622861.00    789.22
 23.81   631836.00    794.88    632642.00    795.39
 23.85   631982.00    794.97    633625.00    796.01
 23.89   632425.00    795.25    634913.00    796.81
 23.93   633790.00    796.11    637070.00    798.17
 23.97   643444.00    802.15    645575.00    803.48
 24.01   639846.00    799.90    641863.00    801.16
 24.05   646118.00    803.81    648780.00    805.47
 24.09   648275.00    805.16    648079.00    805.03
 24.13   656693.00    810.37    660693.00    812.83
 24.17   657131.00    810.64    657955.00    811.14
 24.20   654216.00    808.84    657313.00    810.75
 24.24   666225.00    816.23    667022.00    816.71
 24.28   668470.00    817.60    670759.00    819.00
 24.32   656547.00    810.28    659087.00    811.84
 24.36   671544.00    819.48    674619.00    821.35
 24.40   680587.00    824.98    683404.00    826.68
 24.44   683328.00    826.64    685519.00    827.96
 24.47   699488.00    836.35    701452.00    837.53
 24.51   672724.00    820.20    675650.00    821.98
 24.55   686764.00    828.71    689603.00    830.42
 24.59   707502.00    841.13    710716.00    843.04
 24.63   710545.00    842.94    714725.00    845.41
 24.66   702361.00    838.07    705397.00    839.88
 24.70   714711.00    845.41    716554.00    846.50
 24.74   697733.00    835.30    698803.00    835.94
 24.78   727898.00    853.17    731420.00    855.23
 24.81   720322.00    848.72    720958.00    849.09
 24.85   717151.00    846.85    720174.00    848.63
 24.89   713755.00    844.84    717943.00    847.32
 24.93   716172.00    846.27    717909.00    847.30
 24.97   740327.00    860.42    742027.00    861.41
 25.01   717958.00    847.32    719223.00    848.07
 25.04   714621.00    845.35    716075.00    846.21
 25.08   722963.00    850.27    727187.00    852.75
 25.12   731034.00    855.01    734322.00    856.93
 25.15   705090.00    839.70    706245.00    840.38
 25.19   721711.00    849.54    723146.00    850.38
 25.23   728547.00    853.55    730100.00    854.46
 25.26   703214.00    838.58    702769.00    838.31
 25.30   709859.00    842.53    713062.00    844.43
 25.34   714611.00    845.35    714667.00    845.38
 25.37   717221.00    846.89    718001.00    847.35
 25.41   690875.00    831.19    692345.00    832.07
 25.45   707419.00    841.08    708800.00    841.90
 25.48   699378.00    836.29    698924.00    836.02
 25.52   688985.00    830.05    689907.00    830.61
 25.56   689403.00    830.30    691394.00    831.50
 25.59   671288.00    819.32    671536.00    819.47
 25.63   695746.00    834.11    696541.00    834.59
 25.66   680427.00    824.88    682712.00    826.26
 25.70   663734.00    814.70    664660.00    815.27
 25.74   679650.00    824.41    682010.00    825.84
 25.77   681692.00    825.65    682210.00    825.96
 25.81   649070.00    805.65    650094.00    806.28
 25.85   671411.00    819.40    673695.00    820.79
 25.88   644980.00    803.11    648984.00    805.60
 25.92   667752.00    817.16    670660.00    818.94
 25.95   645802.00    803.62    646729.00    804.19
 25.99   652029.00    807.48    654756.00    809.17
 26.02   658757.00    811.64    660767.00    812.88
 26.06   639208.00    799.50    641501.00    800.94
 26.09   650749.00    806.69    652548.00    807.80
 26.13   632464.00    795.28    634961.00    796.84
 26.17   655672.00    809.74    657396.00    810.80
 26.20   631354.00    794.58    633180.00    795.73
 26.24   644626.00    802.89    646549.00    804.08
 26.27   628240.00    792.62    630672.00    794.15
 26.31   648472.00    805.28    649891.00    806.16
 26.34   620184.00    787.52    622643.00    789.08
 26.38   649920.00    806.18    650610.00    806.60
 26.41   620029.00    787.42    623672.00    789.73
 26.45   645564.00    803.47    651344.00    807.06
 26.48   622640.00    789.08    626588.00    791.57
 26.52   644156.00    802.59    645871.00    803.66
 26.55   620115.00    787.47    622475.00    788.97
 26.59   636258.00    797.66    638078.00    798.80
 26.62   620081.00    787.45    621708.00    788.48
 26.66   641896.00    801.18    644652.00    802.90
 26.69   620283.00    787.58    623203.00    789.43
 26.73   645809.00    803.62    647515.00    804.68
 26.76   614059.00    783.62    618547.00    786.48
 26.80   643878.00    802.42    647509.00    804.68
 26.83   621202.00    788.16    622502.00    788.99
 26.87   641001.00    800.63    644134.00    802.58
 26.90   619658.00    787.18    623288.00    789.49
 26.94   644673.00    802.92    648459.00    805.27
 26.97   623946.00    789.90    625754.00    791.05
 27.00   645531.00    803.45    647402.00    804.61
 27.04   619713.00    787.22    620754.00    787.88
 27.07   641456.00    800.91    645056.00    803.15
 27.11   625788.00    791.07    630197.00    793.85
 27.14   647973.00    804.97    651583.00    807.21
 27.18   632731.00    795.44    636084.00    797.55
 27.21   647797.00    804.86    650011.00    806.23
 27.25   633720.00    796.07    636621.00    797.89
 27.28   642276.00    801.42    644042.00    802.52
 27.32   641570.00    800.98    643636.00    802.27
 27.35   655480.00    809.62    656867.00    810.47
 27.39   638448.00    799.03    641720.00    801.07
 27.42   661278.00    813.19    664921.00    815.43
 27.46   639830.00    799.89    645088.00    803.17
 27.49   654226.00    808.84    657536.00    810.89
 27.53   650084.00    806.28    654016.00    808.71
 27.56   656944.00    810.52    661920.00    813.58
 27.60   670534.00    818.86    673083.00    820.42
 27.63   644381.00    802.73    648967.00    805.58
 27.67   673937.00    820.94    676665.00    822.60
 27.70   668894.00    817.86    673199.00    820.49
