   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   6  -4   6      1.18541      0.02655      1.08349     52.01493     48.00671
  -4   6   6      1.13095      0.01354      1.05882     50.77203     47.95174
   5  -5   5      0.73981      0.01327      0.70138     71.01966    101.25708
  -5   5   5      0.71560      0.01259      0.70182     71.08709    101.28896
   7  -5   5      1.28398      0.04336      1.15582     26.62840     23.03863
   5  -5   7      0.13415      0.01798      0.07437      2.90564     39.06889
  -5   5   7      0.13380      0.01067      0.07346      2.86882     39.05041
  -5   7   5      1.19325      0.01762      1.09677     26.68405     24.32975
   6  -6   6      0.17824      0.01427      0.19204      8.71872     45.39987
  -6   6   6      0.18108      0.01033      0.19302      8.76352     45.40259
