#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   25.20000     107.08     107.08      48.53      48.53     58.550    107.080
   25.40000     137.92     137.92      53.88      53.88     84.040    137.920
   25.60000     326.14     326.14     123.05     123.05    203.090    326.140
   25.80000     738.19     738.19     277.72     277.72    460.480    738.190
   26.00000    1341.24    1341.24     504.69     504.69    836.550   1341.240
   26.20000    1893.00    1893.00     713.00     713.00   1179.990   1893.000
   26.40000    2083.54    2083.54     786.88     786.88   1296.650   2083.540
   26.60000    1822.92    1822.92     694.71     694.71   1128.210   1822.920
   26.80000    1337.62    1337.62     527.00     527.00    810.620   1337.620
   27.00000     965.59     965.59     418.68     418.68    546.910    965.590
   27.20000     878.83     878.83     437.65     437.65    441.190    878.830
   27.40000     992.73     992.73     542.07     542.07    450.650    992.730
   27.60000    1094.88    1094.88     629.94     629.94    464.950   1094.880
   27.80000    1035.48    1035.48     623.78     623.78    411.710   1035.480
   28.00000     815.54     815.54     518.17     518.17    297.370    815.540
   28.20000     536.91     536.91     364.11     364.11    172.800    536.910
   28.40000     300.12     300.12     221.63     221.63     78.490    300.120
   28.60000     148.58     148.58     127.78     127.78     20.790    148.580
   28.80000      77.25      77.25      94.41      94.41    -17.160     77.250
   29.00000      62.50      62.50     116.42     116.42    -53.920     62.500
   29.20000      78.71      78.71     173.16     173.16    -94.450     78.710
   29.40000     102.43     102.43     229.90     229.90   -127.470    102.430
   29.60000     117.26     117.26     253.43     253.43   -136.180    117.260
   29.80000     121.79     121.79     234.09     234.09   -112.300    121.790
   30.00000     132.30     132.30     191.40     191.40    -59.100    132.300
   30.20000     173.93     173.93     155.89     155.89     18.040    173.930
   30.40000     262.25     262.25     144.61     144.61    117.640    262.250
   30.60000     384.50     384.50     151.98     151.98    232.520    384.500
   30.80000     496.64     496.64     159.67     159.67    336.960    496.640
   31.00000     546.33     546.33     152.81     152.81    393.520    546.330
   31.20000     508.00     508.00     129.39     129.39    378.620    508.000
   31.40000     399.79     399.79      99.27      99.27    300.530    399.790
   31.60000     268.49     268.49      77.23      77.23    191.270    268.490
   31.80000     158.29     158.29      74.99      74.99     83.300    158.290
