#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   24.80000  977.04        26.34     667.36            24.66    309.331     36.086
   25.00000  628.41        24.67     492.07            23.89    135.878     34.338
   25.20000  487.43        24.15     480.94            24.11      6.283     34.127
   25.40000  497.39        24.17     447.33            23.88     50.094     33.977
   25.60000  647.35        25.27     465.60            24.25    181.760     35.029
   25.80000  1052.79       27.22      625.33           24.98    427.736     36.944
   26.00000  1649.10       29.87      849.44           25.96    799.590     39.577
   26.20000  2207.57       32.63      1046.96          27.24   1160.633     42.506
   26.40000  2333.00       32.98      1095.76          27.27   1236.758     42.793
   26.60000  2142.82       32.02      1004.78          26.64   1138.028     41.656
   26.80000  1673.56       29.65      836.33           25.43    837.577     39.066
   27.00000  1322.86       27.92      765.03           24.99    557.817     37.468
   27.20000  1287.82       27.03      830.93           24.66    456.819     36.584
   27.40000  1472.66       28.48      1048.04          26.34    424.566     38.793
   27.60000  1567.65       29.09      1103.57          26.79    464.290     39.548
   27.80000  1574.07       29.08      1100.41          26.74    473.699     39.506
   28.00000  1399.46       27.96      1031.16          26.08    367.576     38.239
   28.20000  1030.61       26.35      743.96           24.80    286.496     36.188
   28.40000  758.88        24.54     606.56            23.69    152.411     34.107
   28.60000  628.06        23.52     556.65            23.12     71.553     32.979
   28.80000  445.17        21.95     382.78            21.60     62.336     30.796
   29.00000  449.58        21.93     467.35            22.03    -17.818     31.081
   29.20000  503.80        22.35     448.32            22.03     55.321     31.384
   29.40000  509.06        22.33     546.19            22.53    -37.222     31.723
   29.60000  497.25        22.31     507.60            22.37    -10.629     31.595
   29.80000  490.91        21.67     560.91            22.05    -69.771     30.918
   30.00000  462.58        22.04     470.28            22.09     -7.657     31.203
   30.20000  561.88        22.53     470.89            22.02     91.035     31.509
   30.40000  611.56        22.93     457.03            22.07    154.391     31.833
   30.60000  801.05        24.01     517.54            22.48    284.328     32.897
   30.80000  996.87        24.87     583.47            22.70    413.403     33.669
   31.00000  1032.46       24.83      530.61           22.22    501.968     33.320
   31.20000  964.60        24.52     545.47            22.32    418.420     33.158
   31.40000  813.86        24.21     450.40            22.26    363.109     32.892
   31.60000  686.45        23.58     412.70            22.08    273.569     32.305
   31.80000  549.70        22.98     454.26            22.45     95.515     32.129
   32.00000  422.51        22.74     341.25            22.29     81.356     31.841
   32.20000  395.75        22.67     454.49            22.99    -57.399     32.285
   32.40000  505.26        22.81     514.08            22.85     -8.350     32.286
   32.60000  592.33        23.73     597.95            23.76     -3.901     33.577
   32.80000  578.01        23.90     627.39            24.15    -51.718     33.981
   33.00000  690.80        24.41     637.12            24.14     53.883     34.332
   33.20000  904.55        24.59     776.17            23.95    127.916     34.334
   33.40000  963.10        24.19     867.92            23.74     95.192     33.894
   33.60000  1014.36       24.24      828.51           23.38    185.653     33.679
   33.80000  1026.12       24.20      829.64           23.28    196.445     33.580
   34.00000  835.89        23.52     712.27            22.92    123.456     32.840
   34.20000  763.65        22.83     579.33            21.90    184.269     31.635
   34.40000  633.36        21.85     547.65            21.40     85.645     30.587
   34.60000  522.38        21.30     495.49            21.16     26.985     30.022
   34.80000  468.79        20.78     426.16            20.56     42.732     29.235
