#Wavelength 1.4
#Orientation 0.01551 0.00646 0.99986 -0.83879 -0.54436 0.01653 0.54435 -0.83886 -0.00303
#Polarisation  0.99986  0.01653 -0.00303 -0.91  0.91
#Magnetic_field  7
    0    6    3   -0.1290    0.1172   26.9395    0.1026    0.9351    0.0056    1
    1    6    3    0.9396    0.0123   26.6570    0.1016    0.9256    0.0059    1
    1    8    3    1.5105    0.3423   22.9369    0.0874    0.7306    0.0131    1
    1    9    3    0.3110    0.0602   22.1629    0.0844    0.6314    0.0175    1
    0    0    4    0.1076    0.0015   50.1562    0.1911    1.2048   -0.0025    1
    2    0    4    0.3159    0.0106   41.5974    0.1585    1.1596   -0.0012    1
    1    1    4    0.0789    0.0015   45.6135    0.1738    1.1841   -0.0019    1
    2    1    4    0.9724    0.0163   40.3771    0.1538    1.1506   -0.0009    1
    0    2    4    0.0704    0.0065   42.8265    0.1632    1.1679   -0.0014    1
    1    2    4    0.9208    0.0453   41.1978    0.1570    1.1567   -0.0011    1
    2    2    4    0.1507    0.0066   37.3410    0.1423    1.1237   -0.0002    1
    1    3    4    0.9947    0.1159   36.2380    0.1381    1.1121    0.0002    1
    2    3    4    2.7648    0.3840   33.6799    0.1283    1.0800    0.0011    1
    0    4    4    0.1571    0.0112   32.4946    0.1238    1.0621    0.0016    1
    1    4    4    0.7665    0.0132   31.8678    0.1214    1.0517    0.0019    1
    2    4    4    0.3060    0.0092   30.2384    0.1152    1.0209    0.0029    1
    1    5    4    0.0719    0.0126   28.3906    0.1082    0.9777    0.0042    1
    0    6    4    0.1015    0.0117   26.0014    0.0991    0.9019    0.0067    1
    2    6    4    0.5294    0.0063   25.1301    0.0957    0.8656    0.0080    1
    1    7    4    0.0489    0.0364   23.8848    0.0910    0.8001    0.0104    1
    2    7    4    1.0399    0.0345   23.5077    0.0896    0.7754    0.0113    1
    0    8    4    0.7393    0.1043   22.7334    0.0866    0.7113    0.0139    1
    2    8    4    0.4989    0.0715   22.4725    0.0856    0.6819    0.0152    1
    1    0    5    0.7781    0.0065   39.3599    0.1500    1.1423   -0.0007    1
    1    1    5    0.1298    0.0258   38.3446    0.1461    1.1334   -0.0005    1
    2    1    5    0.7526    0.0044   35.2672    0.1344    1.1008    0.0005    1
    0    2    5   17.5929    0.6532   36.7495    0.1400    1.1176    0.0000    1
    1    2    5    1.2520    0.0085   35.7724    0.1363    1.1068    0.0003    1
    2    2    5    0.4105    0.0024   33.3227    0.1270    1.0749    0.0013    1
    1    3    5    0.1946    0.0022   32.5864    0.1242    1.0636    0.0016    1
    2    3    5    1.3055    0.0731   30.8177    0.1174    1.0325    0.0025    1
    0    4    5    0.3417    0.0030   29.9694    0.1142    1.0152    0.0031    1
    1    4    5    1.0473    0.0201   29.5135    0.1124    1.0052    0.0034    1
    2    4    5    3.2278    0.1281   28.3052    0.1078    0.9754    0.0043    1
    1    5    5    0.5392    0.0073   26.8963    0.1025    0.9337    0.0057    1
    2    5    5    1.1528    0.0432   26.0982    0.0994    0.9056    0.0066    1
    0    6    5    1.3561    0.0476   25.0213    0.0953    0.8606    0.0082    1
    1    6    5    1.1194    0.0213   24.8346    0.0946    0.8518    0.0085    1
    2    6    5    0.7992    0.2953   24.3267    0.0927    0.8257    0.0094    1
    0    8    5    0.8542    0.0129   22.4413    0.0855    0.6779    0.0153    1
    1    8    5    0.9631    0.0311   22.3889    0.0853    0.6708    0.0157    1
    0    0    6    0.4082    0.0015   34.6178    0.1319    1.0927    0.0007    1
    2    0    6    0.2110    0.0028   31.8052    0.1212    1.0506    0.0020    1
    1    1    6    2.0547    0.1100   33.2293    0.1266    1.0735    0.0013    1
    2    1    6    1.2365    0.0492   31.3316    0.1194    1.0422    0.0022    1
    0    2    6    0.3889    0.0036   32.2623    0.1229    1.0583    0.0017    1
    1    2    6    1.4526    0.2077   31.6523    0.1206    1.0480    0.0021    1
    2    2    6    0.5369    0.0044   30.0637    0.1145    1.0173    0.0030    1
    1    3    6    1.1257    0.0159   29.5696    0.1127    1.0064    0.0033    1
    2    3    6    3.4450    0.9174   28.3519    0.1080    0.9767    0.0043    1
    0    4    6    4.0107    0.4447   27.7527    0.1057    0.9601    0.0048    1
    1    4    6    0.8119    0.0147   27.4267    0.1045    0.9504    0.0051    1
    2    4    6    3.0899    0.3630   26.5498    0.1012    0.9219    0.0061    1
    1    5    6    0.4833    0.0060   25.5056    0.0972    0.8820    0.0074    1
    2    5    6    1.9115    0.3718   24.9053    0.0949    0.8552    0.0084    1
    2    6    6    0.3221    0.0189   23.5610    0.0898    0.7791    0.0112    1
    1    7    6    0.6055    0.0118   22.8161    0.0869    0.7194    0.0136    1
    2    7    6    1.0071    0.0335   22.5996    0.0861    0.6971    0.0145    1
