    1    4    9    1.0952    0.1297
    1    5    9    0.6723    0.0152
    2    5    9    1.2773    0.3136
    0    6    9    0.9158    0.1003
    0    0   10    0.8028    0.0036
    2    0   10    0.1976    0.0359
    1    1   10    0.3325    0.1964
    2    1   10    1.1171    0.0521
    0    2   10    0.5976    0.0175
    1    2   10    1.1656    0.0351
    1    3   10    1.0524    0.0208
    1    4   10    0.9962    0.0142
    2    4   10    1.6915    0.1953
    1    1   11    0.4472    0.0536
    2    1   11    0.9218    0.0284
    0    2   11    0.8564    0.0660
    2    2   11    0.7080    0.0188
    1    3   11    0.6552    0.0128
