   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   1   7   4      0.04890      0.03640      0.18734      0.55247      2.94905
   2   7   4      1.03990      0.03450      1.06493      6.37798      5.98912
   0   8   4      0.73930      0.10430      0.80372     13.66896     17.00721
   2   8   4      0.49890      0.07150      0.75239      4.64069      6.16794
   1   0   5      0.77810      0.00650      0.86102      8.40938      9.76682
   1   1   5      0.12980      0.02580      0.10490      0.35681      3.40157
   2   1   5      0.75260      0.00440      0.81261     10.32278     12.70328
   0   2   5     17.59290      0.65320     20.73392     15.23701      0.73488
   1   2   5      1.25200      0.00850      1.14396     14.17084     12.38756
   2   2   5      0.41050      0.00240      0.40645     16.85817     41.47653
   1   3   5      0.19460      0.00220      0.20327      6.45837     31.77247
   2   3   5      1.30550      0.07310      1.45176      0.89241      0.61471
   0   4   5      0.34170      0.00300      0.35146     12.90095     36.70634
   1   4   5      1.04730      0.02010      1.07800      5.88706      5.46109
   2   4   5      3.22780      0.12810     11.24243      4.78249      0.42540
   1   5   5      0.53920      0.00730      0.56051     10.71353     19.11401
   2   5   5      1.15280      0.04320      1.00627      4.11494      4.08931
   0   6   5      1.35610      0.04760      1.13342      7.09752      6.26203
   1   6   5      1.11940      0.02130      1.04038     10.02747      9.63831
   2   6   5      0.79920      0.29530      0.70693      0.32996      0.46675
   0   8   5      0.85420      0.01290      0.86660     35.78851     41.29765
   1   8   5      0.96310      0.03110      0.96832      5.87905      6.07137
   0   0   6      0.40820      0.00150      0.40090     39.37877     98.22502
   2   0   6      0.21100      0.00280      0.23384      5.22142     22.32930
   1   1   6      2.05470      0.11000      2.41960      4.23032      1.74835
   2   1   6      1.23650      0.04920      1.06836      1.72983      1.61915
   0   2   6      0.38890      0.00360      0.43213     10.05755     23.27440
   1   2   6      1.45260      0.20770      1.19363      0.60609      0.50776
   2   2   6      0.53690      0.00440      0.56721     12.59776     22.21010
   1   3   6      1.12570      0.01590      1.14013      9.36045      8.20998
   2   3   6      3.44500      0.91740      1.61373      0.90507      0.56085
   0   4   6      4.01070      0.44470      7.76787      2.27763      0.29321
   1   4   6      0.81190      0.01470      0.89166      5.79017      6.49370
   2   4   6      3.08990      0.36300      4.87377      1.82521      0.37450
   1   5   6      0.48330      0.00600      0.54350     11.97725     22.03723
   2   5   6      1.91150      0.37180      1.44765      1.33476      0.92201
   2   6   6      0.32210      0.01890      0.46556      3.75752      8.07100
   1   7   6      0.60550      0.01180      0.70306     11.36272     16.16175
   2   7   6      1.00710      0.03350      1.02891      6.76808      6.57791
   1   0   7      1.15980      0.00910      1.06850     18.38189     17.20338
   1   1   7      0.36980      0.00710      0.36121      3.39659      9.40334
   2   1   7      0.62550      0.01850      0.77297      2.17080      2.80841
   0   2   7      0.33490      0.00360      0.34827      9.18761     26.38040
   1   2   7      0.65590      0.04940      0.84675      0.68724      0.81162
   2   2   7      1.17100      0.08520      1.32505      0.99094      0.74785
   1   3   7      0.31340      0.00430      0.33670      7.33122     21.77360
   2   3   7      0.92710      0.01330      0.91876      9.50400     10.34438
   0   4   7      6.01730      0.36400      5.11876      7.25112      1.41658
   1   4   7      0.67990      0.33840      0.96926      0.15970      0.16477
   2   4   7      0.53780      0.00620      0.59142     15.06303     25.46910
   1   5   7      0.45380      0.01430      0.56070      4.19919      7.48917
   2   5   7      0.45080      0.16700      0.84801      0.09033      0.10652
   1   6   7      0.93260      0.01750      0.97430      9.34395      9.59039
   2   7   7      0.50350      0.29830      0.76841      0.18253      0.23755
   0   0   8      0.78640      0.02470      0.91999      1.33491      1.45101
   2   0   8      0.49430      0.00530      0.51214     16.49069     32.19968
   1   1   8      0.13330      0.01120      0.15432      1.04262      6.75630
   2   1   8      0.85920      0.04850      0.91174      1.62007      1.77689
   0   2   8      0.57910      0.00630      0.59542     11.78960     19.80057
   1   2   8      0.93370      0.01180      0.96043     11.12641     11.58477
   2   2   8      3.91780      0.58330      4.03171      2.23991      0.55557
   1   3   8      0.80620      0.07090      0.89517      1.06624      1.19110
   0   4   8      0.49100      0.45190      0.70732      0.07113      0.10057
   1   4   8      1.16110      0.04160      1.07764      3.73253      3.46361
   2   4   8      0.74520      0.01580      0.76340      8.49957     11.13389
   1   5   8      0.40270      0.01720      0.50572      3.20225      6.33209
   0   6   8      0.74460      0.00710      0.81594     35.79383     43.86806
   1   6   8      1.09410      0.06270      0.97365      3.38508      3.47671
   2   6   8      0.00150      0.11560      0.41568      0.82214      1.97784
   1   1   9      0.34100      0.02430      0.40500      1.31215      3.23990
   2   1   9      0.86900      0.02270      0.91242      5.21654      5.71722
   0   2   9      0.17740      0.04670      0.06088      0.11255      1.84889
   1   2   9      1.07060      0.04990      1.05210      2.37920      2.26139
   2   2   9      0.46440      0.01400      0.51525      4.86081      9.43394
   1   3   9      0.48090      0.00840      0.55952      9.72499     17.38100
   2   3   9      1.05130      0.14160      0.92792      1.32110      1.42372
   0   4   9      0.25770      0.02960      0.37296      1.56911      4.20720
   1   4   9      1.09520      0.12970      0.99375      1.25098      1.25885
   1   5   9      0.67230      0.01520      0.78622      7.80148      9.92274
   2   5   9      1.27730      0.31360      1.05687      0.80377      0.76052
   0   6   9      0.91580      0.10030      1.06112      2.85769      2.69310
   0   0  10      0.80280      0.00360      0.81042     83.56118    103.10791
   2   0  10      0.19760      0.03590      0.27275      0.73183      2.68318
   1   1  10      0.33250      0.19640      1.25410      0.23399      0.18658
   2   1  10      1.11710      0.05210      1.04266      3.64208      3.49306
   0   2  10      0.59760      0.01750      0.67337      4.60286      6.83559
   1   2  10      1.16560      0.03510      1.03360      5.30297      5.13056
   1   3  10      1.05240      0.02080      1.02762     10.64274     10.35673
   1   4  10      0.99620      0.01420      0.98554     17.21451     17.46705
   2   4  10      1.69150      0.19530      1.32120      2.48157      1.87826
   1   1  11      0.44720      0.05360      0.62487      1.19304      1.90925
   2   1  11      0.92180      0.02840      0.96185      5.43881      5.65453
   0   2  11      0.85640      0.06600      0.07780      0.01533      0.19709
   2   2  11      0.70800      0.01880      0.77731      8.02623     10.32570
   1   3  11      0.65520      0.01280      0.77322     10.67568     13.80685
