   h   k   l       FR_exp        sigma       FR_mod  iint_up_mod iint_down_mod
   7   3  -4      0.66930      0.05560      0.71754      7.81700     10.89414
   0   3  -5      0.99900      0.12150      0.14151      0.00000      0.00000
  -1   3  -6      1.46780      0.17540      1.49313      3.65817      2.45000
   5  -3   8      0.61020      0.06990      0.52760      1.77500      3.36428
   5   1  -2      1.04440      0.13480      3.05531      5.08456      1.66417
   0  -3   5      0.95340      0.15240      0.14151      0.00000      0.00000
   3  -2   7      1.20280      0.20250      0.99755      0.71084      0.71258
  -4   2  -4      1.32890      0.20240      0.79136      2.54209      3.21232
   4   2  -4      1.24940      0.15070      0.79123      2.53829      3.20802
  -5   4  -7      1.06260      0.12210      1.00104      1.76503      1.76320
  -1   2  -1      1.57750      0.37770      0.94037      0.97409      1.03587
  -4   2   0      2.38460      0.56080      0.84063      4.59834      5.47008
  -2   5  -9      0.56200      0.12180      1.00113      0.45036      0.44985
   4  -1   3      0.99640      0.22190      0.98350      3.35578      3.41207
   6   2  -2      0.22200      0.06820      0.40975      6.34522     15.48543
   5  -1   2      0.97840      0.21130      3.05397      5.08791      1.66600
  -6   3  -7      0.95370      0.13500      1.00114      4.38991      4.38492
  -6   2  -2      0.21590      0.08500      0.41447      6.39136     15.42044
  -1  -3   6      1.12660      0.19570      1.49328      3.65645      2.44860
  -6   1  -1      1.31810      0.32140      0.99750      6.18438      6.19985
  -5   1  -2      1.50750      0.22010      3.05397      5.08791      1.66600
  -5   2  -5      1.35810      0.26510      0.99869      0.55598      0.55671
   1   2  -3      0.80400      0.21450      0.94500      0.94725      1.00238
   3   2  -3      0.99540      0.26810      0.97510      0.81764      0.83852
   5   1   2      1.38280      0.38360      3.01749      4.70602      1.55958
  -7   2  -3      1.22220      0.23620      1.00072      0.34470      0.34445
   2   1  -1      0.64800      0.24110      0.91945      0.96299      1.04736
  -1  -2   3      0.78940      0.22560      0.94500      0.94725      1.00238
   4   3  -5      0.76810      0.16550      0.99748      2.70285      2.70968
   1   4  -5      1.00000      0.28560      0.99339      3.17448      3.19560
   1   4  -9      1.17580      0.30890      1.00072      2.57770      2.57586
   2   3  -7      0.88540      0.27430      0.99748      0.71081      0.71261
   3   0   1      0.90000      0.30230      2.79589      0.00000      0.00000
  -7   3  -4      0.49100      0.05110      0.71964      7.82963     10.87989
  -1   4  -9      0.73620      0.23680      1.00072      2.57770      2.57586
   6   0   0      3.42850      1.90890      0.27118      0.71575      2.63943
  -7  -2   3      0.63290      0.25150      1.00072      0.34470      0.34445
