# wavelength 2.748510 2.289620 1.935970 1.788965 1.540520 0.709260 0.559360 0.215947 0.209010 0.180195
Ni	f'	-0.5921	-0.9005	-1.2894	-1.5664	-3.0029	0.3393	0.3147	0.0563	0.05	0.0244	f"	1.424	1.0331	0.7671	0.6662	0.5091	1.1124	0.7232	0.1146	0.1074	0.0796
Cu	f'	-0.443	-0.7338	-1.0699	-1.2789	-1.9646	0.3201	0.324	0.0647	0.0579	0.0298	f"	1.6427	1.193	0.8864	0.77	0.5888	1.2651	0.8257	0.1326	0.1242	0.0922
Zn	f'	-0.3524	-0.6166	-0.9134	-1.0843	-1.5491	0.2839	0.3242	0.0722	0.0648	0.0344	f"	1.8861	1.3712	1.0193	0.8857	0.6778	1.4301	0.9375	0.1526	0.143	0.1063
Ga	f'	-0.2524	-0.4989	-0.7701	-0.92	-1.2846	0.2307	0.3179	0.08	0.0721	0.0393	f"	2.1518	1.5674	1.1663	1.0138	0.7763	1.6083	1.0589	0.1745	0.1636	0.1218
Ge	f'	-0.1549	-0.3858	-0.6412	-0.7781	-1.0885	0.1547	0.3016	0.088	0.0796	0.0445	f"	2.4445	1.7841	1.3291	1.1557	0.8855	1.8001	1.1903	0.1987	0.1863	0.1389
As	f'	-0.0687	-0.2871	-0.526	-0.6523	-0.93	0.0499	0.2758	0.0962	0.0873	0.0501	f"	2.7627	2.0194	1.5069	1.3109	1.0051	2.0058	1.3314	0.2252	0.2112	0.1576
Se	f'	0.0052	-0.1919	-0.4179	-0.539	-0.7943	-0.0929	0.2367	0.1047	0.0954	0.056	f"	3.1131	2.2784	1.7027	1.4821	1.1372	2.2259	1.4831	0.2543	0.2386	0.1782
Br	f'	0.0592	-0.1095	-0.3244	-0.4363	-0.6763	-0.2901	0.1811	0.1106	0.1026	0.0613	f"	3.4901	2.5578	1.914	1.6673	1.2805	2.4595	1.6452	0.2858	0.2682	0.2006
Kr	f'	0.1009	-0.0316	-0.2303	-0.339	-0.5657	-0.5574	0.1067	0.118	0.1082	0.0668	f"	3.9083	2.8669	2.1472	1.8713	1.4385	2.7079	1.8192	0.3197	0.3003	0.2251
Rb	f'	0.1056	0.0247	-0.1516	-0.2535	-0.4688	-0.9393	0.0068	0.1247	0.1146	0.0717	f"	4.3505	3.1954	2.396	2.0893	1.6079	2.9676	2.0025	0.3561	0.3346	0.2514
Sr	f'	0.122	0.1037	-0.0489	-0.1448	-0.3528	-1.5307	-0.1172	0.1321	0.1219	0.0769	f"	4.8946	3.6029	2.706	2.3614	1.82	3.2498	2.2025	0.3964	0.3726	0.2805
Y	f'	0.0654	0.1263	0.0138	-0.072	-0.267	-2.7962	-0.2879	0.138	0.1278	0.0819	f"	5.4198	3.9964	3.0054	2.6241	2.0244	3.5667	2.4099	0.439	0.4128	0.3112
Zr	f'	-0.0304	0.1338	0.0659	-0.0066	-0.1862	-2.9673	-0.5364	0.1431	0.1329	0.0863	f"	5.9818	4.4226	3.3301	2.9086	2.2449	0.5597	2.6141	0.4852	0.4562	0.3443
Nb	f'	-0.1659	0.1211	0.1072	0.0496	-0.1121	-2.0727	-0.8282	0.1471	0.1371	0.0905	f"	6.5803	4.8761	3.6768	3.2133	2.4826	0.6215	2.8404	0.5342	0.5025	0.3797
Mo	f'	-0.3487	0.0801	0.1301	0.0904	-0.0483	-1.6832	-1.2703	0.1487	0.1391	0.0934	f"	7.2047	5.3484	4.0388	3.5326	2.7339	0.6857	3.0978	0.5862	0.5517	0.4177
Tc	f'	-0.6073	-0.0025	0.1314	0.1164	0.0057	-1.439	-2.0087	0.1496	0.1406	0.096	f"	7.8739	5.8597	4.4331	3.8799	3.0049	0.7593	3.349	0.6424	0.6047	0.4582
Ru	f'	-0.9294	-0.1091	0.122	0.1331	0.0552	-1.2594	-5.363	0.1491	0.1409	0.0981	f"	8.5988	6.4069	4.854	4.2509	3.296	0.8363	3.6506	0.7016	0.6607	0.5014
Rh	f'	-1.3551	-0.263	0.0861	0.1305	0.0927	-1.1178	-2.528	0.1445	0.1373	0.097	f"	9.3504	6.982	5.2985	4.6432	3.6045	0.9187	0.5964	0.7639	0.7195	0.5469
Pd	f'	-1.9086	-0.464	0.0279	0.1128	0.1215	-0.9988	-1.9556	0.1387	0.1327	0.0959	f"	10.1441	7.5938	5.7719	5.0613	3.9337	1.0072	0.6546	0.8302	0.7822	0.5955
Ag	f'	-2.5003	-0.7387	-0.07	0.0634	0.1306	-0.8971	-1.6473	0.1295	0.1251	0.0928	f"	10.9916	8.2358	6.2709	5.5027	4.282	1.1015	0.7167	0.9001	0.8484	0.6469
Cd	f'	-3.507	-1.1086	-0.2163	-0.0214	0.1185	-0.8075	-1.4396	0.1171	0.1147	0.0881	f"	11.9019	8.9174	6.8017	5.9728	4.6533	1.2024	0.7832	0.9741	0.9185	0.7013
In	f'	-5.1325	-1.5975	-0.4165	-0.1473	0.0822	-0.7276	-1.2843	0.1013	0.1012	0.0816	f"	12.631	9.629	7.3594	6.4674	5.0449	1.31	0.8542	1.0519	0.9922	0.7587
Sn	f'	-7.5862	-2.2019	-0.6686	-0.3097	0.0259	-0.6537	-1.1587	0.0809	0.0839	0.0728	f"	13.5168	10.3742	7.9473	6.9896	5.4591	1.4246	0.9299	1.1337	1.0697	0.8192
Sb	f'	-9.2145	-3.0637	-0.9868	-0.5189	-0.0562	-0.5866	-1.0547	0.0559	0.0619	0.0613	f"	12.7661	11.1026	8.562	7.5367	5.8946	1.5461	1.0104	1.2196	1.1512	0.883
Te	f'	-11.6068	-4.2407	-1.4022	-0.7914	-0.1759	-0.5308	-0.971	0.0216	0.0316	0.0435	f"	-10.1013	11.8079	9.2067	8.1113	6.3531	1.6751	1.096	1.3095	1.2366	0.9499
I	f'	-13.994	-5.6353	1.9032	1.1275	-0.3257	-0.4742	-0.8919	-0.0146	-0.0001	0.0259	f"	3.4071	12.6156	9.8852	8.7159	6.8362	1.8119	1.1868	1.4037	1.3259	1.0201
Xe	f'	-9.6593	-8.1899	-2.6313	-1.5532	-0.5179	-0.4205	-0.82	-0.0565	-0.0367	0.0057	f"	3.7063	11.7407	10.5776	9.3585	7.35	1.9578	1.2838	1.5023	1.4195	1.0938
Cs	f'	-8.1342	-10.331	-3.5831	-2.1433	-0.7457	-0.368	-0.7527	-0.107	-0.0809	0.0194	f"	4.0732	12.8551	11.2902	10.0454	7.9052	2.1192	1.3916	1.6058	1.5179	1.1714
Ba	f'	-7.2079	-11.0454	-4.6472	-2.7946	-1.0456	-0.3244	-0.694	-0.167	-0.1335	-0.0494	f"	4.411	10.0919	12.0003	10.7091	8.4617	2.2819	1.5004	1.7127	1.6194	1.2517
