#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   19.40000    1785.97      28.74    1851.73      29.26    -66.430     41.020
   19.60000    2046.83      30.47    1984.40      30.00     60.716     42.765
   19.80000    2178.96      31.43    2142.02      31.16     36.743     44.260
   20.00000    2176.42      30.53    2167.95      30.47     12.019     43.132
   20.20000    2031.70      28.12    2012.92      27.99     18.736     39.678
   20.40000    1894.44      27.17    1864.64      26.96     29.156     38.286
   20.60000    1735.93      25.98    1714.69      25.83     21.179     36.639
   20.80000    1671.65      24.98    1635.01      24.71     35.850     35.138
   21.00000    1623.77      24.66    1639.31      24.77    -15.428     34.953
   21.20000    1586.52      24.36    1601.00      24.49    -15.269     34.546
   21.40000    1536.98      23.99    1584.42      24.35    -47.598     34.181
   21.60000    1602.64      24.48    1588.47      24.37     14.034     34.546
   21.80000    1653.03      24.87    1629.49      24.70     23.296     35.053
   22.00000    1873.34      26.01    1892.78      26.15    -18.925     36.884
   22.20000    2385.49      29.32    2362.07      29.18     23.864     41.366
   22.40000    2929.78      32.50    2961.80      32.69    -31.642     46.099
   22.60000    3245.74      34.23    3314.32      34.60    -69.288     48.671
   22.80000    3238.99      34.21    3194.79      33.99     42.152     48.231
   23.00000    3004.38      32.96    2966.26      32.74     38.671     46.458
   23.20000    2930.97      32.23    2804.51      31.52    125.823     45.082
   23.40000    2760.72      31.28    2774.72      31.35    -12.226     44.287
   23.60000    2691.77      31.17    2634.73      30.82     55.579     43.833
   23.80000    2345.29      29.08    2351.92      29.11     -6.303     41.151
   24.00000    2018.04      26.98    1976.22      26.70     41.536     37.961
   24.20000    1772.07      24.78    1752.78      24.65     19.283     34.957
   24.40000    1643.28      21.46    1628.14      21.36     15.123     30.276
   24.60000    1592.59      20.74    1588.41      20.72      4.122     29.319
   24.80000    1518.15      20.61    1567.78      20.94    -49.781     29.384
   25.00000    1561.41      20.90    1581.05      21.03    -19.484     29.650
   25.20000    1571.29      20.97    1558.39      20.87     12.851     29.587
   25.40000    1603.32      21.17    1599.89      21.15      3.385     29.925
   25.60000    1648.83      21.48    1616.37      21.27     32.668     30.230
   25.80000    1659.69      21.35    1684.57      21.51    -25.077     30.307
   26.00000    1617.10      21.08    1617.27      21.08      0.065     29.811
   26.20000    1625.26      21.32    1619.24      21.28      6.022     30.119
   26.40000    1580.84      21.02    1557.29      20.86     23.812     29.619
   26.60000    1548.83      20.81    1514.86      20.58     33.755     29.274
   26.80000    1491.32      20.41    1473.86      20.30     17.437     28.785
   27.00000    1482.23      20.35    1411.19      19.86     71.242     28.436
   27.20000    1435.32      19.68    1471.68      19.92    -36.383     27.997
   27.40000    1450.26      20.12    1424.33      19.94     25.947     28.329
   27.60000    1484.33      20.36    1445.13      20.09     39.166     28.600
   27.80000    1476.84      20.31    1462.89      20.21     14.042     28.649
   28.00000    1419.22      19.90    1478.55      20.31    -59.401     28.437
   28.20000    1472.32      20.28    1475.41      20.30     -2.960     28.690
   28.40000    1453.40      19.95    1470.48      20.07    -17.077     28.303
   28.60000    1451.97      19.69    1442.47      19.63      9.585     27.809
   28.80000    1489.16      19.32    1430.10      18.93     59.508     27.052
   29.00000    1476.13      19.26    1442.12      19.03     33.957     27.075
   29.20000    1495.42      19.39    1501.15      19.42     -5.827     27.439
   29.40000    1487.77      19.33    1482.16      19.29      5.496     27.308
   29.60000    1497.53      19.39    1476.13      19.25     21.149     27.326
   29.80000    1458.07      18.79    1458.99      18.80     -0.914     26.581
   30.00000    1482.64      19.30    1474.24      19.25      8.271     27.260
   30.20000    1473.32      19.24    1491.44      19.36    -18.028     27.291
   30.40000    1495.01      19.38    1470.96      19.22     23.963     27.296
   30.60000    1506.54      19.45    1489.27      19.34     17.182     27.434
   30.80000    1478.94      19.28    1490.65      19.35    -11.703     27.316
   31.00000    1482.40      19.12    1484.16      19.13     -1.812     27.049
   31.20000    1485.52      19.15    1497.67      19.23    -12.137     27.138
   31.40000    1533.53      19.63    1509.51      19.48     24.050     27.655
   31.60000    1540.20      19.68    1551.56      19.75    -11.081     27.882
   31.80000    1563.28      19.83    1548.13      19.73     15.041     27.970
   32.00000    1646.75      20.35    1602.83      20.07     44.143     28.586
   32.20000    1664.66      20.43    1648.89      20.33     15.989     28.826
   32.40000    1650.19      20.01    1694.89      20.28    -44.516     28.490
   32.60000    1658.48      20.43    1702.04      20.69    -43.625     29.079
   32.80000    1707.49      20.73    1700.43      20.69      8.978     29.284
   33.00000    1693.08      20.64    1683.73      20.58      9.211     29.149
   33.20000    1593.67      19.69    1664.17      20.12    -70.862     28.157
   33.40000    1610.57      19.19    1648.11      19.42    -37.784     27.302
   33.60000    1643.91      19.12    1629.57      19.04     14.090     26.983
   33.80000    1597.82      19.11    1614.70      19.21    -16.664     27.098
   34.00000    1597.64      19.13    1535.16      18.75     62.509     26.781
   34.20000    1529.20      18.71    1513.85      18.61     15.593     26.390
   34.40000    1465.42      18.32    1497.45      18.52    -30.879     26.050
   34.60000    1471.63      18.36    1471.39      18.36      0.216     25.960
   34.80000    1466.22      18.15    1441.00      18.00     25.352     25.561
   35.00000    1464.37      18.15    1448.21      18.05     15.706     25.600
   35.20000    1464.11      18.33    1459.35      18.29      4.659     25.896
   35.40000    1471.71      18.37    1479.19      18.41     -7.252     26.008
   35.60000    1457.04      18.28    1484.63      18.45    -27.541     25.972
   35.80000    1449.43      18.23    1453.95      18.25     -4.487     25.795
   36.00000    1505.18      18.57    1425.62      18.08     79.573     25.920
   36.20000    1472.96      18.04    1490.34      18.15    -17.229     25.595
   36.40000    1483.55      18.45    1480.63      18.43      2.830     26.081
   36.60000    1532.40      18.75    1528.55      18.73      3.834     26.503
   36.80000    1546.39      18.82    1549.30      18.84     -2.618     26.627
   37.00000    1529.31      18.73    1536.60      18.77     -7.273     26.514
   37.20000    1542.89      18.82    1600.30      19.17    -57.479     26.862
   37.40000    1576.27      18.84    1565.59      18.77     10.706     26.594
   37.60000    1533.25      18.59    1516.51      18.48     16.485     26.215
   37.80000    1565.38      18.96    1579.15      19.04    -13.761     26.867
   38.00000    1586.05      18.74    1611.65      18.89    -25.949     26.609
   38.20000    1622.52      17.75    1643.13      17.87    -20.504     25.189
   38.40000    1618.21      17.72    1623.38      17.75     -5.288     25.087
   38.60000    1646.29      17.88    1643.08      17.86      3.301     25.274
   38.80000    1614.23      17.39    1615.36      17.39     -0.590     24.601
   39.00000    1631.75      17.81    1606.49      17.67     25.266     25.083
   39.20000    1616.02      17.72    1622.52      17.76     -6.479     25.087
   39.40000    1651.64      17.91    1675.30      18.04    -23.466     25.424
   39.60000    1668.31      18.01    1702.98      18.19    -34.714     25.593
   39.80000    1702.14      18.19    1701.36      18.19     -0.037     25.724
   40.00000    1661.81      17.81    1704.10      18.03    -42.408     25.345
   40.20000    1660.86      17.82    1643.06      17.73     18.090     25.139
   40.40000    1644.75      17.90    1608.67      17.70     35.758     25.174
   40.60000    1586.14      17.58    1578.37      17.54      7.773     24.830
   40.80000    1568.54      17.49    1549.91      17.38     18.952     24.656
   41.00000    1500.50      17.10    1539.96      17.32    -39.399     24.338
   41.20000    1505.24      17.12    1555.96      17.41    -50.769     24.416
   41.40000    1522.28      16.94    1538.07      17.02    -15.884     24.014
   41.60000    1523.94      17.26    1522.31      17.25      1.321     24.411
   41.80000    1516.32      17.22    1492.26      17.08     24.053     24.256
   42.00000    1464.27      16.92    1530.66      17.30    -66.422     24.196
   42.20000    1493.72      17.07    1452.20      16.84     41.562     23.981
   42.40000    1508.95      17.17    1482.36      17.02     26.723     24.181
   42.60000    1517.49      17.08    1506.22      17.01     11.254     24.108
   42.80000    1501.49      17.02    1508.07      17.05     -7.087     24.095
   43.00000    1515.13      17.25    1528.64      17.32    -13.619     24.450
   43.20000    1504.55      16.97    1497.23      16.93      7.300     23.976
   43.40000    1506.22      16.57    1510.63      16.59     -4.217     23.453
   43.60000    1510.91      16.60    1483.06      16.45     27.861     23.369
   43.80000    1525.11      16.67    1551.40      16.82    -26.075     23.680
   44.00000    1514.87      16.35    1507.23      16.31      7.724     23.092
   44.20000    1544.25      16.80    1515.88      16.65     28.391     23.653
   44.40000    1508.65      16.62    1514.76      16.65     -6.219     23.522
   44.60000    1509.38      16.62    1488.84      16.51     20.582     23.427
   44.80000    1483.94      16.48    1501.33      16.58    -17.533     23.375
   45.00000    1527.02      16.72    1509.87      16.62     17.160     23.578
   45.20000    1488.24      16.36    1499.91      16.43    -11.639     23.186
   45.40000    1497.88      16.57    1501.75      16.60     -3.947     23.455
   45.60000    1500.16      16.61    1524.57      16.74    -24.429     23.584
   45.80000    1566.07      16.97    1519.59      16.71     46.481     23.814
   46.00000    1517.34      16.70    1494.07      16.58     23.263     23.531
   46.20000    1559.50      16.93    1524.74      16.74     35.020     23.815
   46.40000    1534.12      16.65    1570.37      16.85    -36.310     23.694
   46.60000    1559.44      16.83    1570.22      16.88    -10.807     23.833
   46.80000    1548.12      16.91    1579.99      17.10    -31.453     24.050
   47.00000    1580.05      17.09    1581.78      17.09     -1.738     24.168
   47.20000    1561.64      16.99    1576.96      17.08    -15.314     24.091
   47.40000    1578.04      17.07    1568.51      17.02      9.517     24.105
   47.60000    1593.96      17.16    1581.05      17.10     13.013     24.223
   47.80000    1576.61      16.80    1570.25      16.77      6.201     23.734
   48.00000    1557.55      17.01    1544.11      16.93     13.366     24.004
   48.20000    1574.87      17.11    1580.05      17.13     -4.955     24.216
   48.40000    1570.38      17.08    1561.57      17.03      9.051     24.124
   48.60000    1565.07      17.06    1554.05      16.99     11.043     24.079
   48.80000    1553.98      16.98    1574.13      17.08    -20.088     24.085
   49.00000    1556.75      16.30    1557.33      16.30     -0.345     23.055
   49.20000    1531.71      16.20    1549.22      16.29    -17.046     22.972
   49.40000    1563.73      16.52    1613.38      16.78    -49.677     23.550
   49.60000    1554.70      16.48    1538.71      16.39     16.043     23.240
   49.80000    1579.04      16.61    1579.67      16.61     -0.486     23.494
   50.00000    1533.22      16.36    1578.70      16.60    -45.461     23.301
   50.20000    1605.74      16.75    1597.54      16.70      8.200     23.653
   50.40000    1626.82      16.61    1633.15      16.62     -6.273     23.500
   50.60000    1663.24      17.10    1651.79      17.05     11.609     24.145
   50.80000    1678.48      17.18    1678.81      17.18      0.357     24.300
   51.00000    1666.81      17.11    1697.48      17.26    -30.519     24.303
   51.20000    1669.32      17.13    1660.27      17.08      8.419     24.191
   51.40000    1686.85      17.22    1664.87      17.11     21.972     24.280
   51.60000    1677.81      17.05    1668.79      16.99      9.072     24.068
   51.80000    1693.35      17.14    1701.87      17.19     -8.474     24.276
   52.00000    1723.08      17.45    1738.30      17.54    -15.049     24.745
   52.20000    1722.23      17.46    1736.63      17.52    -14.364     24.734
   52.40000    1745.61      17.58    1756.81      17.62    -12.035     24.893
   52.60000    1759.62      17.64    1751.16      17.60      8.488     24.918
   52.80000    1780.49      17.75    1784.83      17.77     -4.381     25.114
   53.00000    1760.63      17.36    1754.87      17.33      5.771     24.533
   53.20000    1786.34      17.84    1785.36      17.83      0.875     25.218
   53.40000    1788.67      17.85    1783.89      17.83      4.895     25.226
   53.60000    1822.17      18.02    1834.90      18.07    -12.757     25.522
   53.80000    1789.44      17.85    1807.81      17.95    -18.383     25.311
   54.00000    1779.56      17.81    1812.01      17.96    -32.451     25.294
   54.20000    1814.27      17.83    1772.54      17.62     41.680     25.071
   54.40000    1807.61      17.82    1776.72      17.67     30.907     25.100
   54.60000    1812.25      18.02    1778.29      17.85     34.170     25.362
   54.80000    1749.20      17.70    1784.95      17.88    -35.447     25.165
   55.00000    1740.84      17.66    1724.07      17.58     16.742     24.917
   55.20000    1692.86      17.28    1733.08      17.49    -40.178     24.587
   55.40000    1672.35      16.25    1699.87      16.38    -27.285     23.076
   55.60000    1660.42      15.95    1662.50      15.97     -2.254     22.571
   55.80000    1671.76      16.32    1640.49      16.17     31.515     22.979
   56.00000    1689.96      16.41    1662.30      16.27     27.662     23.112
   56.20000    1633.78      16.14    1646.10      16.19    -12.252     22.859
   56.40000    1611.98      16.02    1650.26      16.20    -38.227     22.783
   56.60000    1641.02      16.17    1658.28      16.26    -17.120     22.932
   56.80000    1638.65      16.02    1628.72      15.98      9.942     22.629
   57.00000    1634.89      16.14    1642.25      16.18     -7.446     22.851
   57.20000    1614.12      16.09    1652.70      16.28    -38.580     22.888
   57.40000    1631.68      16.17    1629.55      16.17      2.164     22.870
   57.60000    1624.78      16.15    1606.09      16.06     18.558     22.775
   57.80000    1625.05      16.15    1616.34      16.10      8.670     22.805
   58.00000    1643.97      16.10    1646.79      16.12     -2.719     22.784
   58.20000    1676.63      16.28    1663.93      16.22     12.692     22.985
   58.40000    1688.69      16.50    1629.30      16.20     59.402     23.124
   58.60000    1671.44      16.42    1667.59      16.40      3.730     23.205
   58.80000    1681.24      16.47    1652.93      16.33     28.725     23.190
   59.00000    1644.29      16.28    1663.88      16.36    -19.677     23.080
   59.20000    1675.31      16.44    1650.73      16.31     24.608     23.155
   59.40000    1668.33      16.13    1707.62      16.32    -39.247     22.948
   59.60000    1668.73      16.47    1674.49      16.49     -5.736     23.308
   59.80000    1644.96      16.34    1674.53      16.49    -29.396     23.216
   60.00000    1634.34      16.28    1679.44      16.51    -45.076     23.187
   60.20000    1670.54      16.46    1646.63      16.35     23.873     23.203
   60.40000    1648.82      16.36    1668.65      16.46    -19.721     23.211
   60.60000    1701.39      16.47    1670.98      16.33     30.113     23.197
   60.80000    1677.18      16.38    1653.88      16.26     23.560     23.086
   61.00000    1669.13      16.51    1663.81      16.47      5.225     23.323
   61.20000    1655.41      16.43    1703.78      16.67    -48.361     23.404
   61.40000    1707.76      16.70    1679.54      16.56     28.202     23.522
   61.60000    1656.81      16.44    1724.51      16.78    -67.726     23.491
   61.80000    1709.63      16.71    1694.57      16.64     15.094     23.586
   62.00000    1714.58      16.47    1690.35      16.35     24.232     23.211
   62.20000    1730.89      16.88    1697.06      16.70     33.855     23.746
   62.40000    1733.20      16.88    1714.57      16.79     18.751     23.808
   62.60000    1720.24      16.82    1706.89      16.75     13.177     23.742
   62.80000    1704.84      16.74    1726.73      16.85    -21.992     23.753
   63.00000    1715.61      16.38    1648.41      16.05     67.213     22.934
   63.20000    1694.75      16.10    1719.22      16.20    -23.523     22.841
   63.40000    1677.16      16.05    1696.28      16.14    -19.162     22.757
   63.60000    1695.45      16.29    1656.29      16.10     39.151     22.904
   63.80000    1667.35      16.16    1658.35      16.10      8.895     22.811
   64.00000    1618.39      15.92    1636.08      16.00    -17.732     22.569
   64.20000    1656.49      16.10    1634.43      15.99     22.080     22.691
   64.40000    1650.64      16.07    1633.46      15.98     17.430     22.662
   64.60000    1628.84      15.70    1594.06      15.54     34.785     22.090
   64.80000    1626.15      16.02    1635.18      16.06     -9.101     22.685
   65.00000    1614.20      15.96    1634.38      16.06    -20.141     22.647
   65.20000    1620.90      15.99    1611.60      15.94      9.189     22.581
   65.40000    1577.48      15.78    1601.47      15.90    -23.994     22.406
   65.60000    1610.35      15.95    1608.70      15.94      1.667     22.552
   65.80000    1583.37      15.67    1591.87      15.72     -8.511     22.201
   66.00000    1578.43      15.69    1606.20      15.83    -27.757     22.284
   66.20000    1582.23      15.86    1596.65      15.93    -13.586     22.484
   66.40000    1586.27      15.88    1619.93      16.04    -33.597     22.570
   66.60000    1583.48      15.87    1563.67      15.76     20.154     22.368
   66.80000    1585.00      15.87    1552.75      15.71     32.045     22.332
   67.00000    1572.43      15.81    1578.81      15.83     -6.157     22.379
   67.20000    1560.33      15.53    1548.85      15.47     11.632     21.924
   67.40000    1554.89      15.82    1573.01      15.91    -18.679     22.437
   67.60000    1567.24      15.88    1610.22      16.09    -42.656     22.610
   67.80000    1578.18      15.94    1568.04      15.88     10.124     22.499
   68.00000    1592.41      16.00    1587.83      15.99      4.672     22.619
   68.20000    1580.91      15.95    1594.31      16.02    -13.548     22.605
   68.40000    1631.56      16.20    1641.27      16.25     -8.988     22.946
   68.60000    1599.30      16.31    1590.01      16.26      9.299     23.027
   68.80000    1619.26      16.49    1599.15      16.39     20.114     23.249
   69.00000    1587.15      16.31    1593.57      16.35     -6.415     23.096
   69.20000    1575.43      16.27    1598.80      16.38    -23.848     23.089
   69.40000    1551.69      16.15    1565.90      16.23    -14.240     22.898
   69.60000    1582.36      16.31    1623.72      16.52    -41.036     23.221
   69.80000    1584.52      16.48    1549.38      16.31     35.133     23.185
   70.00000    1634.03      16.92    1544.66      16.46     89.402     23.610
   70.20000    1582.41      16.68    1601.41      16.77    -19.294     23.654
   70.40000    1597.82      16.75    1598.15      16.75     -0.335     23.689
   70.60000    1584.39      16.67    1603.23      16.78    -18.665     23.655
   70.80000    1593.81      16.73    1618.58      16.86    -24.831     23.750
   71.00000    1624.01      16.90    1591.35      16.72     32.887     23.771
   71.20000    1617.90      17.25    1620.37      17.26     -2.654     24.404
   71.40000    1597.02      17.13    1621.70      17.27    -25.081     24.328
   71.60000    1651.76      17.44    1616.23      17.24     36.178     24.525
   71.80000    1654.44      17.45    1611.68      17.21     42.805     24.512
   72.00000    1650.70      17.43    1626.14      17.30     24.712     24.561
   72.20000    1657.79      17.47    1599.58      17.16     57.785     24.497
   72.40000    1629.39      17.52    1658.68      17.68    -29.287     24.886
   72.60000    1638.40      17.80    1658.66      17.89    -20.272     25.235
   72.80000    1630.87      17.76    1648.22      17.86    -17.600     25.187
   73.00000    1653.76      17.89    1673.75      17.98    -19.543     25.365
   73.20000    1676.32      17.98    1637.25      17.77     39.174     25.277
   73.40000    1655.11      17.87    1655.82      17.88     -0.558     25.282
   73.60000    1655.76      17.41    1664.26      17.46     -8.591     24.654
   73.80000    1608.85      17.62    1645.05      17.80    -36.058     25.046
   74.00000    1634.14      17.76    1625.36      17.71      8.571     25.079
   74.20000    1618.08      17.65    1650.39      17.83    -32.307     25.092
   74.40000    1617.92      17.65    1630.28      17.72    -12.278     25.010
   74.60000    1630.94      17.74    1641.44      17.80    -10.492     25.132
   74.80000    1622.75      17.69    1607.85      17.60     14.782     24.953
   75.00000    1611.74      17.86    1580.72      17.69     31.089     25.141
   75.20000    1583.47      17.92    1608.63      18.06    -25.230     25.445
   75.40000    1587.51      17.96    1612.50      18.10    -24.546     25.496
   75.60000    1621.19      18.14    1600.46      18.03     20.647     25.581
   75.80000    1587.09      17.95    1613.05      18.10    -25.546     25.492
   76.00000    1589.63      17.96    1623.36      18.17    -33.648     25.552
   76.20000    1601.08      18.04    1626.83      18.19    -26.744     25.626
   76.40000    1590.79      18.47    1650.52      18.80    -59.861     26.356
   76.60000    1606.18      18.56    1626.59      18.68    -20.253     26.333
   76.80000    1630.44      18.70    1604.01      18.54     26.195     26.332
   77.00000    1651.05      18.81    1629.11      18.69     20.700     26.529
   77.20000    1638.72      18.74    1629.05      18.69      9.899     26.465
   77.40000    1639.51      18.74    1589.71      18.47     50.210     26.312
   77.60000    1675.87      19.23    1601.43      18.80     74.279     26.893
   77.80000    1629.91      19.22    1666.17      19.44    -36.186     27.335
   78.00000    1648.15      19.33    1659.74      19.40    -11.512     27.392
   78.20000    1648.14      19.33    1607.77      19.10     40.360     27.172
   78.40000    1629.03      19.24    1625.40      19.19      3.146     27.172
   78.60000    1649.46      19.34    1647.89      19.33      1.832     27.346
   78.80000    1662.14      19.43    1665.98      19.45     -3.800     27.491
   79.00000    1657.62      19.98    1685.68      20.14    -27.908     28.369
   79.20000    1678.55      20.10    1692.06      20.18    -13.588     28.478
   79.40000    1652.40      19.94    1679.28      20.11    -26.327     28.323
   79.60000    1666.77      20.03    1649.29      19.92     17.549     28.256
   79.80000    1609.51      19.67    1657.69      19.97    -48.437     28.036
   80.00000    1653.62      19.95    1683.78      20.13    -30.273     28.341
   80.20000    1659.32      20.30    1654.77      20.27      4.564     28.693
   80.40000    1635.55      20.46    1626.19      20.41      9.396     28.898
   80.60000    1638.45      20.48    1655.62      20.59    -17.673     29.047
   80.80000    1660.19      20.63    1688.54      20.79    -28.324     29.288
   81.00000    1670.33      20.69    1694.56      20.85    -23.529     29.378
   81.20000    1661.66      20.62    1655.33      20.59      6.767     29.143
   81.40000    1663.81      20.96    1640.19      20.81     23.809     29.541
   81.60000    1638.95      21.15    1655.57      21.25    -16.642     29.980
   81.80000    1686.81      21.44    1671.64      21.36     14.730     30.268
   82.00000    1707.72      21.59    1696.51      21.52     11.398     30.482
   82.20000    1738.25      21.79    1666.22      21.33     71.564     30.492
   82.40000    1676.20      21.40    1683.70      21.43     -7.507     30.283
   82.60000    1674.39      21.37    1711.56      21.61    -37.188     30.389
   82.80000    1661.20      22.03    1666.87      22.08     -5.720     31.189
   83.00000    1723.00      22.44    1715.88      22.40      7.153     31.704
   83.20000    1705.81      22.33    1694.20      22.25     11.856     31.527
   83.40000    1702.20      22.32    1740.29      22.56    -38.261     31.742
   83.60000    1723.73      22.46    1706.02      22.35     17.978     31.688
   83.80000    1703.19      22.31    1756.79      22.67    -53.359     31.806
   84.00000    1689.51      22.62    1670.57      22.48     18.795     31.897
   84.20000    1746.18      23.41    1747.90      23.43     -2.392     33.122
   84.40000    1733.20      23.31    1729.31      23.28      3.953     32.945
   84.60000    1740.13      23.37    1727.40      23.30     13.697     33.008
   84.80000    1719.81      23.22    1738.02      23.34    -18.160     32.931
   85.00000    1694.98      23.06    1724.28      23.26    -29.384     32.756
   85.20000    1741.46      23.37    1728.71      23.28     12.732     32.990
   85.40000    1740.16      24.29    1748.98      24.34     -8.733     34.393
