#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   20.20000    4419.98      57.36    2346.53      49.72   2092.057     64.721
   20.40000    3733.59      54.05    1997.55      47.16   1765.852     60.675
   20.60000    2353.72      47.55    1399.62      43.29    975.344     52.839
   20.80000    1232.64      41.28     874.67      39.29    394.629     44.875
   21.00000     766.54      38.71     681.07      38.45     70.085     41.900
   21.20000     641.73      37.72     516.38      37.25    111.454     40.223
   21.40000     527.51      36.66     514.00      37.07    -34.251     39.366
   21.60000     530.99      37.33     460.23      36.83     85.180     39.463
   21.80000     490.10      37.64     518.12      37.54     -4.460     39.961
   22.00000     514.55      39.18     481.07      39.21     12.603     41.391
   22.20000     533.06      43.66     490.63      43.30     67.120     45.496
   22.40000     648.52      48.37     550.94      48.26     64.928     50.433
   22.60000     917.85      51.63     664.03      51.23    185.123     54.049
   22.80000    1039.30      52.04     844.08      51.05    239.642     54.665
   23.00000     939.74      50.03     840.95      49.39    136.443     52.769
   23.20000     699.73      48.16     644.63      47.00    184.835     49.956
   23.40000     775.60      47.16     645.02      46.77    115.519     49.500
   23.60000     928.82      47.63     850.99      46.88    135.269     50.459
   23.80000    1633.96      47.65    1016.41      45.32    611.101     51.307
   24.00000    2188.94      47.28    1338.62      43.60    891.922     51.920
   24.20000    2444.96      45.41    1466.11      41.38    996.928     50.526
   24.40000    2116.27      38.85    1229.26      35.40    902.153     42.961
   24.60000    1543.45      35.69     947.11      33.33    600.458     39.055
   24.80000     977.04      33.44     617.73      32.35    309.331     36.086
   25.00000     628.41      32.33     472.43      31.83    135.878     34.338
   25.20000     487.43      31.98     493.84      31.89      6.283     34.127
   25.40000     497.39      32.13     450.76      31.90     50.094     33.977
   25.60000     647.35      33.17     498.06      32.26    181.760     35.029
   25.80000    1052.79      34.59     600.45      32.96    427.736     36.944
   26.00000    1649.10      36.56     849.27      33.44    799.590     39.577
   26.20000    2207.57      38.98    1052.98      34.57   1160.633     42.506
   26.40000    2333.00      39.11    1119.31      34.33   1236.758     42.793
   26.60000    2142.82      38.19    1038.75      33.66   1138.028     41.656
   26.80000    1673.56      36.00     853.79      32.54    837.577     39.066
   27.00000    1322.86      34.55     836.07      31.92    557.817     37.468
   27.20000    1287.82      33.44     794.57      31.70    456.819     36.584
   27.40000    1472.66      34.87    1073.97      33.04    424.566     38.793
   27.60000    1567.65      35.51    1142.77      33.49    464.290     39.548
   27.80000    1574.07      35.47    1114.36      33.52    473.699     39.506
   28.00000    1399.46      34.32     971.83      33.06    367.576     38.239
   28.20000    1030.61      33.25     740.87      32.05    286.496     36.188
   28.40000     758.88      31.63     589.48      31.05    152.411     34.107
   28.60000     628.06      30.67     566.15      30.33     71.553     32.979
   28.80000     445.17      29.24     441.84      28.72     62.336     30.796
   29.00000     449.58      29.19     501.36      29.11    -17.818     31.081
   29.20000     503.80      29.59     442.59      29.37     55.321     31.384
   29.40000     509.06      29.53     551.80      29.66    -37.222     31.723
   29.60000     497.25      29.56     529.00      29.51    -10.629     31.595
   29.80000     490.91      28.68     559.99      28.98    -69.771     30.918
   30.00000     462.58      29.30     478.68      29.30     -7.657     31.203
   30.20000     561.88      29.63     452.77      29.32     91.035     31.509
   30.40000     611.56      30.02     481.08      29.27    154.391     31.833
   30.60000     801.05      30.90     534.81      29.65    284.328     32.897
   30.80000     996.87      31.47     571.76      29.83    413.403     33.669
   31.00000    1032.46      31.34     528.85      29.32    501.968     33.320
