   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  11   -9   -1   2.673193   -15.994383     0.000000      15.9944   52.15025    0.00948    6
   6   -5    2   2.662618  -208.827447     0.000000      208.827   52.37308    1.60063    6
   6   -1   -2   2.662618  -126.216805     0.000000      126.217   52.37308    0.58472    6
  13   -8    0   2.655915  -137.511880     0.000000      137.512   52.51534    0.68978    6
  13   -5    0   2.655915   -53.574599     0.000000      53.5746   52.51534    0.10470    6
  12   -7    1   2.612356  -201.416515     0.000000      201.417   53.45985    1.42099    6
  12   -5   -1   2.612356    85.580956     0.000000       85.581   53.45985    0.25654    6
   7   -4    2   2.602484    -1.198503     0.000000       1.1985   53.67887    0.00005    6
   7   -3   -2   2.602484   132.416704     0.000000      132.417   53.67887    0.60848    6
  12   -4    1   2.583455   -60.124163     0.000000      60.1242   54.10636    0.12320    6
  12   -8   -1   2.583455  -321.129410     0.000000      321.129   54.10636    3.51462    6
   7   -6   -2   2.546248    42.408350     0.000000      42.4084   54.96314    0.05914    6
   7   -1    2   2.546248  -304.530496     0.000000       304.53   54.96314    3.04973    6
  12    0    0   2.513783  -326.677434     0.000000      326.677   55.73429    3.40011    6
  11    0   -1   2.502187   253.181557     0.000000      253.182   56.01528    2.01912    6
   7    0   -2   2.493508    60.268663     0.000000      60.2687   56.22753    0.11344    6
   8   -5   -2   2.493508   166.099425     0.000000      166.099   56.22753    0.86161    6
   8   -3    2   2.493508  -157.682035     0.000000      157.682   56.22753    0.77649    6
  13   -2    0   2.488000   182.367352     0.000000      182.367   56.36309    1.03299    6
  14   -7    0   2.488000    90.193022     0.000000       90.193   56.36309    0.25267    6
  13  -11    0   2.488000   107.768566     0.000000      107.769   56.36309    0.36073    6
  12   -2   -1   2.476755   227.049492     0.000000      227.049   56.64202    1.58338    6
  12  -10    1   2.476755   100.742143     0.000000      100.742   56.64202    0.31172    6
   8   -6    2   2.468337   -70.720217     0.000000      70.7202   56.85274    0.15233    6
   8   -2   -2   2.468337   -27.786410     0.000000      27.7864   56.85274    0.02352    6
  13   -7   -1   2.452084   338.231662     0.000000      338.232   57.26428    3.42793    6
  13   -6    1   2.452084    58.870984     0.000000       58.871   57.26428    0.10385    6
  14   -4    0   2.415165   118.210598     0.000000      118.211   58.22281    0.40331    6
  14  -10    0   2.415165    61.175901     0.000000      61.1759   58.22281    0.10802    6
  12   -1    1   2.404875  -269.147280     0.000000      269.147   58.49602    2.06883    6
