   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  16   -1    2   1.639929   143.442640     0.000000      143.443   91.53160    0.26866    6
  16  -15   -2   1.639929   639.334826     0.000000      639.335   91.53160    5.33698    6
  20  -14    1   1.635136   101.328918     0.000000      101.329   91.87713    0.13374    6
  20   -6   -1   1.635136  -496.456265     0.000000      496.456   91.87713    3.21043    6
  18   -8    2   1.632707   125.276581     0.000000      125.277   92.05345    0.20419    6
  18  -10   -2   1.632707  -140.903372     0.000000      140.903   92.05345    0.25831    6
  17   -3    2   1.625579   168.710020     0.000000       168.71   92.57547    0.36911    6
  17  -14   -2   1.625579  -240.358450     0.000000      240.358   92.57547    0.74919    6
  18  -11    2   1.625579    54.154162     0.000000      54.1542   92.57547    0.03803    6
  18   -7   -2   1.625579    15.251826     0.000000      15.2518   92.57547    0.00302    6
  13   -8   -3   1.616941    89.057394     0.000000      89.0574   93.21771    0.10248    6
  13   -8    3   1.616941   489.021258     0.000000      489.021   93.21771    3.08993    6
  13   -5   -3   1.616941   -43.204636     0.000000      43.2046   93.21771    0.02412    6
  13   -5    3   1.616941     7.103562     0.000000      7.10356   93.21771    0.00065    6
  20  -15   -1   1.613936   105.921056     0.000000      105.921   93.44365    0.14479    6
  20   -5    1   1.613936     1.745982     0.000000      1.74598   93.44365    0.00004    6
  21   -6    0   1.610110    67.541533     0.000000      67.5415   93.73321    0.05879    6
  21  -15    0   1.610110  -265.470005     0.000000       265.47   93.73321    0.90823    6
  16    0   -2   1.604744  -288.744312     0.000000      288.744   94.14299    1.07245    6
  21  -11   -1   1.600252  -176.950085     0.000000       176.95   94.48935    0.40218    6
  21  -10    1   1.600252   401.142346     0.000000      401.142   94.48935    2.06691    6
  17   -2   -2   1.597975   -90.941922     0.000000      90.9419   94.66613    0.10616    6
  17  -15    2   1.597975   197.862109     0.000000      197.862   94.66613    0.50252    6
  18   -5    2   1.597975   164.942266     0.000000      164.942   94.66613    0.34921    6
  18  -13   -2   1.597975  -386.803246     0.000000      386.803   94.66613    1.92046    6
  21  -13    1   1.586910    57.380983     0.000000       57.381   95.53656    0.04214    6
  21   -8   -1   1.586910    62.443595     0.000000      62.4436   95.53656    0.04990    6
  22  -11    0   1.583273   165.547506     0.000000      165.548   95.82698    0.35047    6
  12    0    3   1.583184   699.752584     0.000000      699.753   95.83406    6.26164    6
  12    0   -3   1.583184    56.290828     0.000000      56.2908   95.83406    0.04052    6
  18  -14    2   1.578170    75.970023     0.000000        75.97   96.23807    0.07373    6
  18   -4   -2   1.578170  -247.436184     0.000000      247.436   96.23807    0.78218    6
  13  -11   -3   1.576683   314.662197     0.000000      314.662   96.35862    1.26461    6
  13  -11    3   1.576683   132.717052     0.000000      132.717   96.35862    0.22497    6
  13   -2    3   1.576683   213.734837     0.000000      213.735   96.35862    0.58347    6
  14   -7   -3   1.576683  -128.811451     0.000000      128.811   96.35862    0.21192    6
  14   -7    3   1.576683  -204.908877     0.000000      204.909   96.35862    0.53628    6
  13   -2   -3   1.576683   -78.210447     0.000000      78.2104   96.35862    0.07813    6
  19   -1   -1   1.573897   -74.652792     0.000000      74.6528   96.58562    0.07115    6
  21   -7    1   1.573897   147.751012     0.000000      147.751   96.58562    0.27870    6
  19  -18    1   1.573897  -190.936443     0.000000      190.936   96.58562    0.46543    6
  21  -14   -1   1.573897   215.308425     0.000000      215.308   96.58562    0.59183    6
  19  -10    2   1.571730  -326.680658     0.000000      326.681   96.76304    1.36203    6
  19   -9   -2   1.571730  -296.254583     0.000000      296.255   96.76304    1.12014    6
  22   -8    0   1.564003  -514.992624     0.000000      514.993   97.40229    3.38199    6
  22  -14    0   1.564003    -6.859175     0.000000      6.85918   97.40229    0.00060    6
  20   -3   -1   1.561198    79.979991     0.000000        79.98   97.63691    0.08155    6
  20  -17    1   1.561198   140.947845     0.000000      140.948   97.63691    0.25328    6
  19  -12   -2   1.559083  -101.272068     0.000000      101.272   97.81474    0.13074    6
  19   -7    2   1.559083  -103.122737     0.000000      103.123   97.81474    0.13556    6
  14   -4    3   1.557650  -435.586410     0.000000      435.586   97.93570    2.41850    6
  14  -10   -3   1.557650  -191.918223     0.000000      191.918   97.93570    0.46949    6
  14  -10    3   1.557650   -17.927804     0.000000      17.9278   97.93570    0.00410    6
  14   -4   -3   1.557650  -162.750156     0.000000       162.75   97.93570    0.33763    6
  19  -13    2   1.546737    -5.534121     0.000000      5.53412   98.86909    0.00039    6
  19   -6   -2   1.546737   -34.623185     0.000000      34.6232   98.86909    0.01528    6
  20   -1    0   1.545420  -281.635405     0.000000      281.635   98.98325    1.01109    6
  20  -19    0   1.545420  -147.237437     0.000000      147.237   98.98325    0.27635    6
  19    0    1   1.536697   644.627078     0.000000      644.627   99.74764    5.30082    6
  21   -5   -1   1.536697  -202.958537     0.000000      202.959   99.74764    0.52546    6
  21  -16    1   1.536697   -51.252739     0.000000      51.2527   99.74764    0.03351    6
  17    0    2   1.534680  -187.677828     0.000000      187.678   99.92649    0.44943    6
  21   -3    0   1.533393  -221.518617     0.000000      221.519  100.04100    0.62623    6
  21  -18    0   1.533393  -269.918107     0.000000      269.918  100.04100    0.92977    6
  20   -2    1   1.530750   -17.514028     0.000000       17.514  100.27730    0.00392    6
  22  -12    1   1.530750  -442.685803     0.000000      442.686  100.27730    2.50194    6
  22  -10   -1   1.530750  -571.705550     0.000000      571.706  100.27730    4.17283    6
  20  -18   -1   1.530750   120.908871     0.000000      120.909  100.27730    0.18664    6
  18   -2    2   1.528756  -348.955148     0.000000      348.955  100.45644    1.55515    6
  18  -16   -2   1.528756   404.737299     0.000000      404.737  100.45644    2.09209    6
  15   -6    3   1.527405  -229.649053     0.000000      229.649  100.57831    0.67371    6
  15   -9   -3   1.527405  -390.023974     0.000000      390.024  100.57831    1.94323    6
  15   -9    3   1.527405  -301.567661     0.000000      301.568  100.57831    1.16175    6
  15   -6   -3   1.527405   172.319705     0.000000       172.32  100.57831    0.37933    6
   1    0    4   1.526691    34.723000     0.000000       34.723  100.64285    0.01540    6
  22  -13   -1   1.524871   404.638182     0.000000      404.638  100.80786    2.09265    6
  22   -9    1   1.524871   -56.938884     0.000000      56.9389  100.80786    0.04144    6
   2    0   -4   1.520859   230.723393     0.000000      230.723  101.17405    0.68099    6
   3   -2   -4   1.515093   -70.592081     0.000000      70.5921  101.70621    0.06385    6
   3   -1    4   1.515093  -143.428904     0.000000      143.429  101.70621    0.26358    6
  21   -4    1   1.513314  -277.043898     0.000000      277.044  101.87183    0.98394    6
  21  -17   -1   1.513314  -519.401017     0.000000      519.401  101.87183    3.45840    6
  19   -4    2   1.511388   206.378673     0.000000      206.379  102.05195    0.54634    6
  20   -9    2   1.511388   205.159048     0.000000      205.159  102.05195    0.53991    6
  19  -15   -2   1.511388  -161.798917     0.000000      161.799  102.05195    0.33581    6
  20  -11   -2   1.511388  -107.542420     0.000000      107.542  102.05195    0.14835    6
  22   -5    0   1.510159  -112.363022     0.000000      112.363  102.16730    0.16202    6
  23  -13    0   1.510159   372.986765     0.000000      372.987  102.16730    1.78526    6
  23  -10    0   1.510159   -67.505551     0.000000      67.5056  102.16730    0.05848    6
  22  -17    0   1.510159   359.409832     0.000000       359.41  102.16730    1.65766    6
  20  -12    2   1.505729  -537.692913     0.000000      537.693  102.58584    3.71598    6
  20   -8   -2   1.505729    17.305591     0.000000      17.3056  102.58584    0.00385    6
  14   -1    3   1.504437  -128.376379     0.000000      128.376  102.70864    0.21193    6
  14  -13   -3   1.504437   -94.519896     0.000000      94.5199  102.70864    0.11489    6
  14  -13    3   1.504437   213.699420     0.000000      213.699  102.70864    0.58726    6
  14   -1   -3   1.504437  -273.138415     0.000000      273.138  102.70864    0.95937    6
   4   -3    4   1.503755   -36.016211     0.000000      36.0162  102.77368    0.01669    6
   4   -1   -4   1.503755   -82.100089     0.000000      82.1001  102.77368    0.08670    6
  22  -15    1   1.502016    93.470222     0.000000      93.4702  102.93997    0.11246    6
  22   -7   -1   1.502016   119.658689     0.000000      119.659  102.93997    0.18430    6
  18  -17    2   1.500132  -294.722002     0.000000      294.722  103.12084    1.11896    6
  18   -1   -2   1.500132  -296.119171     0.000000      296.119  103.12084    1.12959    6
   4    0    4   1.498181  -167.557789     0.000000      167.558  103.30908    0.36199    6
  15   -3    3   1.493336   -59.187772     0.000000      59.1878  103.78035    0.04527    6
  15  -12   -3   1.493336    11.640679     0.000000      11.6407  103.78035    0.00175    6
  15  -12    3   1.493336   -10.163851     0.000000      10.1639  103.78035    0.00133    6
  15   -3   -3   1.493336   -29.567235     0.000000      29.5672  103.78035    0.01130    6
   5   -3   -4   1.492668   213.872980     0.000000      213.873  103.84567    0.59131    6
   5   -2    4   1.492668  -414.525328     0.000000      414.525  103.84567    2.22129    6
  19  -16    2   1.489125   259.307038     0.000000      259.307  104.19439    0.87083    6
  19   -3   -2   1.489125  -308.587748     0.000000      308.588  104.19439    1.23328    6
  16   -8   -3   1.487876    -9.944645     0.000000      9.94464  104.31803    0.00128    6
  16   -8    3   1.487876   115.986761     0.000000      115.987  104.31803    0.17435    6
  22  -16   -1   1.485534  -312.827455     0.000000      312.827  104.55093    1.26994    6
  22   -6    1   1.485534    -4.178276     0.000000      4.17828  104.55093    0.00023    6
  20   -6    2   1.483711    15.051388     0.000000      15.0514  104.73306    0.00294    6
  20  -14   -2   1.483711  -232.020163     0.000000       232.02  104.73306    0.69934    6
   5    0   -4   1.481823     6.043542     0.000000      6.04354  104.92264    0.00048    6
  23  -16    0   1.477206  -268.850924     0.000000      268.851  105.39000    0.94282    6
  23   -7    0   1.477206   406.525630     0.000000      406.526  105.39000    2.15567    6
   6   -4    4   1.476488   129.193796     0.000000      129.194  105.46312    0.21782    6
   6   -2   -4   1.476488   358.753109     0.000000      358.753  105.46312    1.67960    6
  16   -5    3   1.471850  -187.492026     0.000000      187.492  105.93904    0.46023    6
  16  -11   -3   1.471850   148.972765     0.000000      148.973  105.93904    0.29055    6
  16  -11    3   1.471850  -155.124647     0.000000      155.125  105.93904    0.31505    6
  16   -5   -3   1.471850  -331.167764     0.000000      331.168  105.93904    1.43585    6
   6   -5   -4   1.471211    52.812855     0.000000      52.8129  106.00502    0.03653    6
   6   -1    4   1.471211   272.452393     0.000000      272.452  106.00502    0.97229    6
  23  -12   -1   1.469582   356.578829     0.000000      356.579  106.17375    1.66742    6
  23  -11    1   1.469582   -73.341013     0.000000       73.341  106.17375    0.07054    6
  20  -15    2   1.467818   -64.215670     0.000000      64.2157  106.35731    0.05415    6
  20   -5   -2   1.467818   264.885189     0.000000      264.885  106.35731    0.92136    6
  20    0   -1   1.464378    38.061162     0.000000      38.0612  106.71759    0.01907    6
   7   -4   -4   1.460823  -271.055646     0.000000      271.056  107.09330    0.97022    6
   7   -3    4   1.460823   256.333538     0.000000      256.334  107.09330    0.86769    6
  21  -19    1   1.459229   218.971865     0.000000      218.972  107.26299    0.63405    6
  21   -2   -1   1.459229   -40.734486     0.000000      40.7345  107.26299    0.02194    6
  23  -14    1   1.459229  -669.583784     0.000000      669.584  107.26299    5.92863    6
  23   -9   -1   1.459229     3.626669     0.000000      3.62667  107.26299    0.00017    6
  21  -11    2   1.457501   175.620492     0.000000       175.62  107.44761    0.40846    6
  21  -10   -2   1.457501  -109.997465     0.000000      109.997  107.44761    0.16024    6
  24  -12    0   1.451333   285.381693     0.000000      285.382  108.11381    1.08471    6
   7   -6    4   1.450653  -382.716139     0.000000      382.716  108.18798    1.95209    6
   7   -1   -4   1.450653   275.736721     0.000000      275.737  108.18798    1.01330    6
  23   -8    1   1.449091   294.628479     0.000000      294.628  108.35871    1.15867    6
  23  -15   -1   1.449091   296.072536     0.000000      296.073  108.35871    1.17005    6
  21   -8    2   1.447400  -275.700240     0.000000        275.7  108.54447    1.01628    6
  21  -13   -2   1.447400   109.200625     0.000000      109.201  108.54447    0.15944    6
  22  -18    1   1.444101   189.600665     0.000000      189.601  108.90916    0.48227    6
  22   -4   -1   1.444101   456.674802     0.000000      456.675  108.90916    2.79785    6
  17   -7    3   1.441292  -187.248737     0.000000      187.249  109.22238    0.47179    6
  17  -10   -3   1.441292   304.821958     0.000000      304.822  109.22238    1.25026    6
  17  -10    3   1.441292    -6.844371     0.000000      6.84437  109.22238    0.00063    6
  17   -7   -3   1.441292   164.384831     0.000000      164.385  109.22238    0.36361    6
   7    0    4   1.440692   284.492173     0.000000      284.492  109.28957    1.08977    6
   8   -5    4   1.440692  -349.748513     0.000000      349.749  109.28957    1.64704    6
   8   -3   -4   1.440692    75.552467     0.000000      75.5525  109.28957    0.07686    6
  19   -1    2   1.437505  -218.821162     0.000000      218.821  109.64842    0.64701    6
  21   -7   -2   1.437505   -71.679214     0.000000      71.6792  109.64842    0.06943    6
  19  -18   -2   1.437505    79.602612     0.000000      79.6026  109.64842    0.08562    6
  21  -14    2   1.437505   458.377736     0.000000      458.378  109.64842    2.83908    6
  21    0    0   1.436447   314.770462     0.000000       314.77  109.76822    1.34042    6
  24  -15    0   1.436447   -95.266324     0.000000      95.2663  109.76822    0.12278    6
  24   -9    0   1.436447   378.420196     0.000000       378.42  109.76822    1.93733    6
   8   -6   -4   1.435788  -619.239125     0.000000      619.239  109.84313    5.19159    6
   8   -2    4   1.435788   174.586111     0.000000      174.586  109.84313    0.41267    6
  22   -2    0   1.431586   -69.597872     0.000000      69.5979  110.32345    0.06591    6
  22  -20    0   1.431586  -268.159797     0.000000       268.16  110.32345    0.97843    6
  15    0    3   1.431521  -369.122974     0.000000      369.123  110.33097    1.85404    6
  15    0   -3   1.431521   154.246998     0.000000      154.247  110.33097    0.32375    6
  21   -1    1   1.429434   106.191522     0.000000      106.192  110.57169    0.15384    6
  21  -20   -1   1.429434   272.655323     0.000000      272.655  110.57169    1.01418    6
  20   -3    2   1.427811   356.970753     0.000000      356.971  110.76003    1.74196    6
  20  -17   -2   1.427811  -297.733633     0.000000      297.734  110.76003    1.21179    6
  16   -2    3   1.426710   -22.207979     0.000000       22.208  110.88822    0.00675    6
  16  -14   -3   1.426710   -34.055306     0.000000      34.0553  110.88822    0.01588    6
  16  -14    3   1.426710   -50.286589     0.000000      50.2866  110.88822    0.03462    6
  16   -2   -3   1.426710  -219.479040     0.000000      219.479  110.88822    0.65943    6
   9   -5   -4   1.421370   110.822461     0.000000      110.822  111.51573    0.16931    6
   9   -4    4   1.421370   -16.680652     0.000000      16.6807  111.51573    0.00384    6
  22   -3    1   1.419901   -85.063482     0.000000      85.0635  111.69010    0.09995    6
  23  -17    1   1.419901   -59.005918     0.000000      59.0059  111.69010    0.04809    6
  23   -6   -1   1.419901   -71.099597     0.000000      71.0996  111.69010    0.06983    6
  22  -19   -1   1.419901   -59.827263     0.000000      59.8273  111.69010    0.04944    6
  23   -4    0   1.417294   274.923209     0.000000      274.923  112.00145    1.04787    6
  23  -19    0   1.417294   -11.201248     0.000000      11.2012  112.00145    0.00174    6
   8    0   -4   1.416660   130.753279     0.000000      130.753  112.07749    0.23724    6
  17   -4    3   1.412561   -96.846901     0.000000      96.8469  112.57277    0.13093    6
  17  -13   -3   1.412561  -458.385569     0.000000      458.386  112.57277    2.93309    6
  17  -13    3   1.412561   211.525606     0.000000      211.526  112.57277    0.62458    6
  17   -4   -3   1.412561  -156.598055     0.000000      156.598  112.57277    0.34232    6
   9   -7    4   1.411997   320.228054     0.000000      320.228  112.64149    1.43267    6
   9   -2   -4   1.411997  -300.045469     0.000000      300.045  112.64149    1.25778    6
  24  -13    1   1.410556   -41.820384     0.000000      41.8204  112.81726    0.02449    6
  24  -11   -1   1.410556   182.474133     0.000000      182.474  112.81726    0.46620    6
  19    0   -2   1.408996  -195.954133     0.000000      195.954  113.00856    0.53891    6
  21   -5    2   1.408996  -395.823455     0.000000      395.823  113.00856    2.19892    6
  21  -16   -2   1.408996   484.427315     0.000000      484.427  113.00856    3.29354    6
  24  -14   -1   1.405953  -213.135321     0.000000      213.135  113.38432    0.64059    6
  24  -10    1   1.405953   460.359921     0.000000       460.36  113.38432    2.98860    6
  22  -10    2   1.404408   234.375037     0.000000      234.375  113.57644    0.77655    6
  20  -18    2   1.404408   403.414891     0.000000      403.415  113.57644    2.30064    6
  20   -2   -2   1.404408  -239.962994     0.000000      239.963  113.57644    0.81402    6
  22  -12   -2   1.404408   309.877044     0.000000      309.877  113.57644    1.35745    6
  18   -9    3   1.403360   675.043755     0.000000      675.044  113.70724    6.45278    6
  18   -9   -3   1.403360   370.091173     0.000000      370.091  113.70724    1.93955    6
   9   -8   -4   1.402806   231.482503     0.000000      231.483  113.77655    0.75947    6
   9   -1    4   1.402806  -237.620498     0.000000       237.62  113.77655    0.80028    6
  23   -5    1   1.401394  -482.146525     0.000000      482.147  113.95382    3.30252    6
  23  -18   -1   1.401394  -364.195913     0.000000      364.196  113.95382    1.88433    6
  22  -13    2   1.399864   175.707378     0.000000      175.707  114.14679    0.43972    6
  22   -9   -2   1.399864    46.439341     0.000000      46.4393  114.14679    0.03072    6
  10   -6    4   1.398277   -91.494627     0.000000      91.4946  114.34778    0.11955    6
  10   -4   -4   1.398277   -23.476095     0.000000      23.4761  114.34778    0.00787    6
  24   -6    0   1.394396   -61.982934     0.000000      61.9829  114.84390    0.05524    6
  24  -18    0   1.394396  -123.953689     0.000000      123.954  114.84390    0.22092    6
  10   -7   -4   1.393792  -210.368887     0.000000      210.369  114.92160    0.63700    6
  10   -3    4   1.393792  -305.687692     0.000000      305.688  114.92160    1.34503    6
  21   -4   -2   1.390906   430.692448     0.000000      430.692  115.29524    2.68400    6
  21  -17    2   1.390906  -410.031333     0.000000      410.031  115.29524    2.43266    6
  25  -14    0   1.389948   191.482603     0.000000      191.483  115.42004    0.53146    6
  25  -11    0   1.389948  -169.226749     0.000000      169.227  115.42004    0.41510    6
  18  -12   -3   1.389888  -515.968763     0.000000      515.969  115.42784    3.85932    6
  18  -12    3   1.389888    -6.677254     0.000000      6.67725  115.42784    0.00065    6
  18   -6   -3   1.389888   -63.341509     0.000000      63.3415  115.42784    0.05816    6
  18   -6    3   1.389888   256.368222     0.000000      256.368  115.42784    0.95278    6
  24   -8   -1   1.387978    51.702014     0.000000       51.702  115.67785    0.03889    6
  24  -16    1   1.387978   -49.607151     0.000000      49.6072  115.67785    0.03580    6
  22   -7    2   1.382119  -172.555363     0.000000      172.555  116.45468    0.43814    6
  22  -15   -2   1.382119   260.557443     0.000000      260.557  116.45468    0.99899    6
  10   -9    4   1.376275   316.394377     0.000000      316.394  117.24471    1.49078    6
  10   -1   -4   1.376275   -41.014213     0.000000      41.0142  117.24471    0.02505    6
  11   -6   -4   1.376275   204.506299     0.000000      204.506  117.24471    0.62283    6
  11   -5    4   1.376275   533.748975     0.000000      533.749  117.24471    4.24257    6
  24  -17   -1   1.374941   -39.623317     0.000000      39.6233  117.42721    0.02345    6
  24   -7    1   1.374941  -189.679271     0.000000      189.679  117.42721    0.53730    6
  22   -6   -2   1.369244   334.444371     0.000000      334.444  118.21622    1.69136    6
  22  -16    2   1.369244   107.052373     0.000000      107.052  118.21622    0.17329    6
  11   -8    4   1.367760  -341.194738     0.000000      341.195  118.42440    1.76623    6
  11   -3   -4   1.367760  -129.806610     0.000000      129.807  118.42440    0.25564    6
  22  -21    1   1.366451  -169.319547     0.000000       169.32  118.60890    0.43627    6
  22   -1   -1   1.366451   607.675322     0.000000      607.675  118.60890    5.61935    6
  25   -8    0   1.364126   109.103763     0.000000      109.104  118.93860    0.18212    6
  25  -17    0   1.364126   -33.450727     0.000000      33.4507  118.93860    0.01712    6
  10    0    4   1.363561   134.495547     0.000000      134.496  119.01918    0.27713    6
  17   -1    3   1.359905   119.732623     0.000000      119.733  119.54445    0.22156    6
  17  -16   -3   1.359905    46.153505     0.000000      46.1535  119.54445    0.03292    6
  17  -16    3   1.359905  -206.799353     0.000000      206.799  119.54445    0.66095    6
  17   -1   -3   1.359905   -54.983036     0.000000       54.983  119.54445    0.04672    6
  19  -11    3   1.359905  -259.266129     0.000000      259.266  119.54445    1.03888    6
  19   -8   -3   1.359905  -343.486500     0.000000      343.486  119.54445    1.82344    6
  19   -8    3   1.359905   168.263103     0.000000      168.263  119.54445    0.43757    6
  19  -11   -3   1.359905    85.513076     0.000000      85.5131  119.54445    0.11302    6
  11   -9   -4   1.359401   277.943935     0.000000      277.944  119.61739    1.19542    6
  11   -2    4   1.359401  -544.357157     0.000000      544.357  119.61739    4.58538    6
  25  -13   -1   1.358116  -270.060129     0.000000       270.06  119.80405    1.13215    6
  25  -12    1   1.358116   -67.851281     0.000000      67.8513  119.80405    0.07147    6
  23   -3   -1   1.358116   -62.527487     0.000000      62.5275  119.80405    0.06069    6
  23  -20    1   1.358116  -153.572128     0.000000      153.572  119.80405    0.36611    6
  23  -12    2   1.356723  -467.059402     0.000000      467.059  120.00733    3.39808    6
  23  -11   -2   1.356723   -57.386803     0.000000      57.3868  120.00733    0.05130    6
  20    0    2   1.352625  -284.542150     0.000000      284.542  120.61151    1.27446    6
  18   -3    3   1.351689   160.816782     0.000000      160.817  120.75084    0.40809    6
  18  -15   -3   1.351689   207.299262     0.000000      207.299  120.75084    0.67809    6
  18  -15    3   1.351689  -525.600932     0.000000      525.601  120.75084    4.35920    6
  18   -3   -3   1.351689   426.822310     0.000000      426.822  120.75084    2.87468    6
  12   -7    4   1.351194   187.895628     0.000000      187.896  120.82468    0.55782    6
  12   -5   -4   1.351194  -385.016557     0.000000      385.017  120.82468    2.34217    6
  25  -15    1   1.349932   169.247595     0.000000      169.248  121.01366    0.45410    6
  25  -10   -1   1.349932  -180.909041     0.000000      180.909  121.01366    0.51884    6
  21   -2    2   1.348564  -514.336170     0.000000      514.336  121.21948    4.20916    6
  23   -9    2   1.348564   -94.256294     0.000000      94.2563  121.21948    0.14136    6
  23  -14   -2   1.348564  -232.121718     0.000000      232.122  121.21948    0.85730    6
  21  -19   -2   1.348564    90.279445     0.000000      90.2794  121.21948    0.12968    6
  12   -8   -4   1.347146   384.622826     0.000000      384.623  121.43402    2.36288    6
  12   -4    4   1.347146  -151.989115     0.000000      151.989  121.43402    0.36897    6
  24   -5   -1   1.341894  -546.799443     0.000000      546.799  122.23881    4.84614    6
  24  -19    1   1.341894  -438.421797     0.000000      438.422  122.23881    3.11547    6
  25  -16   -1   1.341894   149.157092     0.000000      149.157  122.23881    0.36060    6
  25   -9    1   1.341894   -38.737726     0.000000      38.7377  122.23881    0.02432    6
  23  -15    2   1.340550  -103.642244     0.000000      103.642  122.44738    0.17478    6
  23   -8   -2   1.340550   339.047487     0.000000      339.047  122.44738    1.87041    6
  23   -1    0   1.339692  -420.948079     0.000000      420.948  122.58112    2.89038    6
  23  -22    0   1.339692    48.942514     0.000000      48.9425  122.58112    0.03907    6
  26  -13    0   1.339692  -267.491844     0.000000      267.492  122.58112    1.16713    6
  22    0    1   1.337928   658.400197     0.000000        658.4  122.85759    7.10766    6
  22   -4    2   1.336597   162.720134     0.000000       162.72  123.06762    0.43586    6
  22  -18   -2   1.336597   -44.138581     0.000000      44.1386  123.06762    0.03207    6
  19  -14   -3   1.335693  -226.169123     0.000000      226.169  123.21072    0.84433    6
  19  -14    3   1.335693  -461.613850     0.000000      461.614  123.21072    3.51726    6
  19   -5   -3   1.335693   253.666026     0.000000      253.666  123.21072    1.06212    6
  19   -5    3   1.335693   -10.501893     0.000000      10.5019  123.21072    0.00182    6
  11    0   -4   1.335216    70.007894     0.000000      70.0079  123.28657    0.08102    6
  23   -2    1   1.333998   -82.089652     0.000000      82.0897  123.48072    0.11181    6
  23  -21   -1   1.333998  -426.066801     0.000000      426.067  123.48072    3.01191    6
  24   -3    0   1.331835   475.230318     0.000000       475.23  123.82790    3.77224    6
  24  -21    0   1.331835   253.629417     0.000000      253.629  123.82790    1.07446    6
  12  -10    4   1.331309  -627.501712     0.000000      627.502  123.91279    6.58772    6
  12   -2   -4   1.331309    -4.065308     0.000000      4.06531  123.91279    0.00028    6
  26  -16    0   1.327958   591.705098     0.000000      591.705  124.45812    5.92038    6
  26  -10    0   1.327958   202.038323     0.000000      202.038  124.45812    0.69025    6
  13   -7   -4   1.327436   274.503526     0.000000      274.504  124.54365    1.27634    6
  13   -6    4   1.327436   250.445244     0.000000      250.445  124.54365    1.06242    6
  21   -1   -2   1.324942   -66.002656     0.000000      66.0027  124.95542    0.07440    6
  21  -20    2   1.324942   305.988307     0.000000      305.988  124.95542    1.59896    6
  20  -10    3   1.324062   194.207935     0.000000      194.208  125.10175    0.64600    6
  20  -10   -3   1.324062   274.862402     0.000000      274.862  125.10175    1.29399    6
  24  -20   -1   1.322411   138.513213     0.000000      138.513  125.37791    0.33045    6
  24   -4    1   1.322411    92.959247     0.000000      92.9592  125.37791    0.14883    6
  12   -1    4   1.319791   134.201791     0.000000      134.202  125.82001    0.31300    6
  13   -9    4   1.319791   -14.155574     0.000000      14.1556  125.82001    0.00348    6
  13   -4   -4   1.319791   231.251363     0.000000      231.251  125.82001    0.92938    6
  12  -11   -4   1.319791   339.841483     0.000000      339.841  125.82001    2.00714    6
  25  -18    1   1.318615    -2.838585     0.000000      2.83859  126.02020    0.00014    6
  25   -7   -1   1.318615   245.026772     0.000000      245.027  126.02020    1.04770    6
  22   -3   -2   1.317340   422.738592     0.000000      422.739  126.23837    3.13263    6
  23  -17   -2   1.317340   235.385011     0.000000      235.385  126.23837    0.97123    6
  23   -6    2   1.317340   407.428814     0.000000      407.429  126.23837    2.90984    6
  22  -19    2   1.317340   259.007146     0.000000      259.007  126.23837    1.17595    6
  25   -5    0   1.316526    86.425537     0.000000      86.4255  126.37832    0.13131    6
  25  -20    0   1.316526   290.838730     0.000000      290.839  126.37832    1.48707    6
  20   -7    3   1.312730    85.901412     0.000000      85.9014  127.03773    0.13153    6
  20  -13   -3   1.312730   191.287242     0.000000      191.287  127.03773    0.65223    6
  20  -13    3   1.312730   -56.847713     0.000000      56.8477  127.03773    0.05760    6
  20   -7   -3   1.312730    14.016121     0.000000      14.0161  127.03773    0.00350    6
  13  -10   -4   1.312277  -294.408193     0.000000      294.408  127.11724    1.54760    6
  13   -3    4   1.312277   -60.783857     0.000000      60.7839  127.11724    0.06597    6
  24  -13   -2   1.309867   285.428995     0.000000      285.429  127.54273    1.46788    6
  24  -11    2   1.309867  -205.661858     0.000000      205.662  127.54273    0.76208    6
  26  -14    1   1.307421  -456.066724     0.000000      456.067  127.97961    3.78299    6
  26  -12   -1   1.307421   666.276768     0.000000      666.277  127.97961    8.07399    6
  24  -14    2   1.306178    20.522250     0.000000      20.5223  128.20350    0.00770    6
  24  -10   -2   1.306178   188.398992     0.000000      188.399  128.20350    0.64870    6
  25   -6    1   1.303752   318.436749     0.000000      318.437  128.64436    1.87123    6
  26  -15   -1   1.303752  -334.900234     0.000000        334.9  128.64436    2.06972    6
  26  -11    1   1.303752    67.277377     0.000000      67.2774  128.64436    0.08353    6
  25  -19   -1   1.303752   163.632240     0.000000      163.632  128.64436    0.49410    6
  23   -5   -2   1.302520  -316.226301     0.000000      316.226  128.87033    1.85457    6
  23  -18    2   1.302520  -104.527059     0.000000      104.527  128.87033    0.20263    6
  14   -8    4   1.301242   389.242596     0.000000      389.243  129.10610    2.82462    6
  14   -6   -4   1.301242  -165.429106     0.000000      165.429  129.10610    0.51020    6
  14   -9   -4   1.297625   -61.201884     0.000000      61.2019  129.78153    0.07090    6
  14   -5    4   1.297625  -274.666893     0.000000      274.667  129.78153    1.42795    6
  26   -7    0   1.294521  -428.991457     0.000000      428.991  130.37107    3.53045    6
  26  -19    0   1.294521   187.584855     0.000000      187.585  130.37107    0.67504    6
  18    0   -3   1.294473   485.831859     0.000000      485.832  130.38032    4.52895    6
  18    0    3   1.294473    46.168888     0.000000      46.1689  130.38032    0.04090    6
